Image ID,Camera Pose
60,"[ 0.15853211 -0.01164026 -0.01549708  0.00695663 -0.01416233  0.01761048
 -0.15810561  0.00182835  0.01323191  0.15831128  0.01644814  0.07898289
  0.          0.          0.          1.        ]"
62,"[ 0.15825597 -0.01207823 -0.01781146  0.00706582 -0.01616576  0.02053606
 -0.15755959  0.00176167  0.01420564  0.15792552  0.01912624  0.07949578
  0.          0.          0.          1.        ]"
64,"[ 0.15809214 -0.01213603 -0.01917493  0.0071959  -0.01732999  0.02255867
 -0.15715872  0.00163733  0.01465035  0.15764488  0.02101296  0.07993904
  0.          0.          0.          1.        ]"
66,"[ 0.15782062 -0.01282621 -0.02088605  0.00731168 -0.01856086  0.0263423
 -0.15642781  0.00149587  0.01600728  0.15700209  0.02453968  0.08036742
  0.          0.          0.          1.        ]"
68,"[ 0.15756314 -0.01310253 -0.02258904  0.00737022 -0.01987465  0.0294483
 -0.15571089  0.00124482  0.01693929  0.15642636  0.02742151  0.08088362
  0.          0.          0.          1.        ]"
70,"[ 0.15733293 -0.01285026 -0.02427558  0.00735431 -0.02131018  0.03194967
 -0.15502638  0.00113033  0.01732943  0.15595568  0.02975906  0.08134438
  0.          0.          0.          1.        ]"
72,"[ 0.15723476 -0.01277554 -0.0249419   0.00735671 -0.02187795  0.03286825
 -0.15475503  0.00117873  0.01751194  0.15577082  0.0306083   0.08175175
  0.          0.          0.          1.        ]"
74,"[ 0.15678429 -0.00992907 -0.02877816  0.00732824 -0.02557202  0.03896495
 -0.15276089  0.00126164  0.01651789  0.15456788  0.03666078  0.08223715
  0.          0.          0.          1.        ]"
76,"[ 0.15604969 -0.00599786 -0.03347544  0.00721378 -0.03030831  0.04678533
 -0.14966838  0.00138588  0.01542678  0.15258848  0.04457417  0.08263737
  0.          0.          0.          1.        ]"
78,"[ 1.54886475e-01 -7.01275848e-04 -3.89586237e-02  7.06914608e-03
 -3.61682935e-02  5.68183135e-02 -1.44815806e-01  1.56518555e-03
  1.44955404e-02  1.49262424e-01  5.49426225e-02  8.33889477e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]"
80,"[ 0.1541639   0.00223255 -0.04167244  0.00685299 -0.03922199  0.06222911
 -0.1417648   0.00166219  0.01425525  0.14707358  0.06061547  0.08378961
  0.          0.          0.          1.        ]"
82,"[ 0.15345594  0.00553452 -0.04391731  0.00665699 -0.04209902  0.06720587
 -0.13863307  0.00181418  0.01367603  0.14477854  0.06603201  0.08422346
  0.          0.          0.          1.        ]"
84,"[ 0.15270521  0.00892134 -0.04593054  0.00631751 -0.04487301  0.07233001
 -0.13514017  0.00187975  0.0132521   0.14211567  0.07166312  0.08454939
  0.          0.          0.          1.        ]"
86,"[ 0.15193746  0.01242579 -0.04763078  0.00615506 -0.0474805   0.07777032
 -0.1311696   0.00199305  0.01298818  0.1389441   0.07767837  0.08488956
  0.          0.          0.          1.        ]"
88,"[ 0.15155165  0.01433825 -0.04831765  0.00592135 -0.04872686  0.08080952
 -0.12885496  0.00223777  0.01287921  0.13701212  0.08105486  0.08515126
  0.          0.          0.          1.        ]"
90,"[ 0.15045462  0.01938305 -0.04995787  0.00543809 -0.05214244  0.08728716
 -0.12316737  0.0028016   0.01235546  0.13233795  0.08855559  0.08562364
  0.          0.          0.          1.        ]"
92,"[ 0.14929421  0.02340721 -0.05168583  0.00516433 -0.0553212   0.09237238
 -0.11796183  0.00334577  0.01260506  0.12816993  0.09445457  0.08603051
  0.          0.          0.          1.        ]"
94,"[ 0.14808495  0.02646423 -0.05365234  0.00497121 -0.0582638   0.09629975
 -0.11331272  0.00385728  0.01357422  0.12463583  0.09894309  0.08631434
  0.          0.          0.          1.        ]"
96,"[ 0.14746945  0.02780382 -0.05466069  0.00478057 -0.05966489  0.09795435
 -0.11114464  0.00447149  0.01417551  0.12304462  0.10083235  0.0866347
  0.          0.          0.          1.        ]"
98,"[ 0.14624314  0.03243025 -0.05540133  0.00466767 -0.06286521  0.10026054
 -0.10725611  0.00502009  0.01299976  0.12001745  0.10457009  0.08687646
  0.          0.          0.          1.        ]"
100,"[ 0.14492413  0.03706119 -0.05596024  0.00447738 -0.06595879  0.1032984
 -0.10240588  0.00550187  0.01243058  0.11603445  0.10903931  0.08731655
  0.          0.          0.          1.        ]"
102,"[ 0.14354403  0.04159727 -0.05632816  0.00436716 -0.06885217  0.10724151
 -0.09626381  0.00592527  0.01275045  0.11080167  0.11431755  0.08764926
  0.          0.          0.          1.        ]"
104,"[ 0.14287534  0.04374004 -0.05640507  0.00421127 -0.07014229  0.10941586
 -0.09282409  0.00624819  0.0132205   0.1078103   0.11709074  0.0879198
  0.          0.          0.          1.        ]"
106,"[ 0.14195083  0.04647988 -0.0565479   0.00403684 -0.07185649  0.11200262
 -0.08831841  0.0065264   0.0139531   0.10393805  0.12045862  0.08819102
  0.          0.          0.          1.        ]"
108,"[ 0.14084173  0.04948466 -0.05677112  0.0039375  -0.07385371  0.11432015
 -0.08357401  0.00680647  0.01474182  0.09995127  0.12369522  0.08835173
  0.          0.          0.          1.        ]"
110,"[ 0.13943571  0.05296548 -0.05710014  0.0037965  -0.07630603  0.11634929
 -0.07841121  0.00715152  0.01559348  0.09573707  0.12688318  0.08848081
  0.          0.          0.          1.        ]"
112,"[ 0.13865958  0.05477609 -0.05728164  0.00365818 -0.07761806  0.11719972
 -0.0758139   0.00763839  0.01603258  0.09365837  0.12837114  0.08867288
  0.          0.          0.          1.        ]"
114,"[ 0.13758376  0.05731325 -0.05739326  0.00357114 -0.0793462   0.11854308
 -0.07183177  0.00803546  0.01682186  0.09039255  0.13059209  0.08881989
  0.          0.          0.          1.        ]"
116,"[ 0.13652215  0.06002864 -0.05715198  0.00353413 -0.08091057  0.12041093
 -0.06680399  0.00848049  0.01797962  0.08605728  0.13333778  0.08889389
  0.          0.          0.          1.        ]"
118,"[ 0.13551859  0.06291249 -0.05643417  0.0034846  -0.08219362  0.12293225
 -0.06033204  0.0089492   0.01967248  0.08023569  0.13668692  0.08900142
  0.          0.          0.          1.        ]"
120,"[ 0.13507555  0.06433665 -0.05588806  0.00340306 -0.08269365  0.12426911
 -0.05680699  0.00954338  0.02060195  0.07698096  0.13841089  0.08913607
  0.          0.          0.          1.        ]"
122,"[ 0.13442476  0.06604091 -0.05546771  0.00335223 -0.08360065  0.12501687
 -0.05375683  0.00995451  0.02118963  0.07427963  0.13979135  0.0891553
  0.          0.          0.          1.        ]"
124,"[ 0.13363555  0.06784233 -0.05520003  0.00336615 -0.08454156  0.12602758
 -0.0497781   0.01024635  0.02241317  0.07086997  0.14136188  0.08917754
  0.          0.          0.          1.        ]"
126,"[ 0.13266255  0.06985957 -0.05503066  0.00341073 -0.08551282  0.12734434
 -0.04448664  0.01047641  0.02441903  0.06641646  0.14318048  0.08916724
  0.          0.          0.          1.        ]"
128,"[ 0.13218407  0.07081802 -0.05495694  0.00336758 -0.08590082  0.12805921
 -0.04159293  0.01053168  0.02562238  0.06398227  0.14407584  0.08907743
  0.          0.          0.          1.        ]"
130,"[ 0.13127004  0.07283489 -0.05450998  0.00338405 -0.08687078  0.12877221
 -0.03713852  0.01068892  0.02701348  0.06017374  0.1454561   0.08902098
  0.          0.          0.          1.        ]"
132,"[ 0.13005797  0.07543804 -0.05387125  0.00339938 -0.08815147  0.12936216
 -0.03166759  0.01089732  0.02867628  0.05552134  0.14698005  0.08892909
  0.          0.          0.          1.        ]"
134,"[ 0.12837168  0.07892068 -0.05291807  0.00336215 -0.08986167  0.12974116
 -0.02449892  0.01111637  0.03088162  0.0494656   0.14868613  0.08885533
  0.          0.          0.          1.        ]"
136,"[ 0.12739043  0.08091787 -0.05226914  0.00334792 -0.09078696  0.1298242
 -0.02028525  0.01130748  0.03221012  0.04589185  0.14954776  0.08874394
  0.          0.          0.          1.        ]"
138,"[ 0.12676486  0.08233164 -0.05157768  0.00334845 -0.09165851  0.12946085
 -0.01861958  0.01153425  0.03220981  0.04437876  0.15000379  0.0887159
  0.          0.          0.          1.        ]"
140,"[ 0.12631537  0.08328518 -0.05114772  0.00336727 -0.09227153  0.12917669
 -0.01753372  0.01176332  0.03222537  0.04341712  0.15028161  0.08863362
  0.          0.          0.          1.        ]"
142,"[ 0.12606723  0.0837289  -0.05103539  0.00340085 -0.09257866  0.12902773
 -0.01700359  0.01185454  0.03231612  0.04300467  0.15038069  0.08855659
  0.          0.          0.          1.        ]"
