Image ID,Camera Pose
270,"[ 0.12052642  0.02532409 -0.05405964  0.00933305 -0.02110544 -0.09585688
 -0.09195865 -0.00555702 -0.05584187  0.09088741 -0.08192396  0.06525058
  0.          0.          0.          1.        ]"
273,"[ 0.12240585  0.0255921  -0.04951995  0.00905989 -0.01938972 -0.09247671
 -0.09572079 -0.00545342 -0.05226107  0.09425219 -0.0804716   0.06523631
  0.          0.          0.          1.        ]"
276,"[ 0.12331005  0.02509105 -0.04749151  0.00908686 -0.01899346 -0.09087043
 -0.09732516 -0.00535605 -0.05024194  0.09593423 -0.0797668   0.06504596
  0.          0.          0.          1.        ]"
279,"[ 0.12415405  0.02312694 -0.04627407  0.009092   -0.01956628 -0.09038059
 -0.0976672  -0.00520324 -0.04788847  0.09688583 -0.08006373  0.06496964
  0.          0.          0.          1.        ]"
282,"[ 0.12473594  0.0215388  -0.04546865  0.00911823 -0.02008518 -0.09012837
 -0.09779487 -0.00509955 -0.04612921  0.09748502 -0.08036876  0.06476181
  0.          0.          0.          1.        ]"
285,"[ 0.12569547  0.01984043 -0.04355892  0.00906018 -0.02016512 -0.08905832
 -0.09875403 -0.00508084 -0.04340956  0.09881977 -0.08025357  0.06468501
  0.          0.          0.          1.        ]"
288,"[ 0.12599475  0.02111262 -0.04207079  0.00926934 -0.0184999  -0.0883287
 -0.09973047 -0.00515934 -0.04328335  0.09921023 -0.07983892  0.06451727
  0.          0.          0.          1.        ]"
291,"[ 0.12822524  0.02037964 -0.03511881  0.00942609 -0.01529948 -0.08350718
 -0.10432089 -0.00523394 -0.03761099  0.1034485  -0.07729291  0.06457503
  0.          0.          0.          1.        ]"
294,"[ 0.12892022  0.02149559 -0.03174725  0.00959773 -0.01295645 -0.08039445
 -0.10704782 -0.00513485 -0.03608433  0.10566478 -0.07498833  0.06464976
  0.          0.          0.          1.        ]"
297,"[ 0.12984776  0.02222119 -0.02713209  0.00972699 -0.00989837 -0.07660407
 -0.11011    -0.00513095 -0.03364452  0.10829778 -0.07231881  0.0647538
  0.          0.          0.          1.        ]"
300,"[ 0.13016324  0.02355353 -0.02435437  0.00980499 -0.00770505 -0.07357063
 -0.1123315  -0.00509903 -0.03299297  0.11010434 -0.06984891  0.06485994
  0.          0.          0.          1.        ]"
303,"[ 0.13067488  0.02415963 -0.02075473  0.00983692 -0.00516032 -0.07042743
 -0.11447148 -0.00503709 -0.03142957  0.11201188 -0.06749736  0.06508636
  0.          0.          0.          1.        ]"
306,"[ 0.13087167  0.0235523  -0.02020559  0.01007845 -0.00567709 -0.06792702
 -0.11594854 -0.00495818 -0.03050815  0.11367313 -0.06510026  0.06522407
  0.          0.          0.          1.        ]"
309,"[ 0.1315746   0.02714053 -0.00647216  0.01030156  0.00517946 -0.05441546
 -0.12289225 -0.00410817 -0.02741661  0.11996967 -0.05427688  0.06546662
  0.          0.          0.          1.        ]"
312,"[ 0.13183429  0.02626549 -0.00449635  0.01042958  0.00625677 -0.05257079
 -0.12364278 -0.00398362 -0.02590262  0.12098268 -0.05275052  0.06558143
  0.          0.          0.          1.        ]"
315,"[ 0.13190106  0.0261823  -0.00263996  0.0104471   0.0078559  -0.05205604
 -0.12376924 -0.00396443 -0.02511508  0.12122305 -0.05257925  0.06565638
  0.          0.          0.          1.        ]"
