Image ID,Camera Pose
702,"[-0.04550799  0.03608832 -0.06219723  0.00271496 -0.02422188 -0.07699773
 -0.02695344  0.00409852 -0.06770644  0.00328955  0.0514476   0.03017472
  0.          0.          0.          1.        ]"
706,"[-0.04743537  0.03765419 -0.059782    0.00258469 -0.02167894 -0.07628979
 -0.03085012  0.00437488 -0.06724395 -0.00196685  0.05211738  0.03055303
  0.          0.          0.          1.        ]"
710,"[-0.0510888   0.0390123  -0.0557657   0.00241186 -0.01908329 -0.07514408
 -0.0350861   0.00458352 -0.06532688 -0.00855843  0.05386085  0.03092359
  0.          0.          0.          1.        ]"
714,"[-0.0536034   0.04007402 -0.05256032  0.00235887 -0.01672162 -0.07369388
 -0.0391336   0.00465548 -0.06394453 -0.01432215  0.05429376  0.0312712
  0.          0.          0.          1.        ]"
718,"[-0.05788388  0.04014409 -0.04774669  0.00230996 -0.01529559 -0.07228131
 -0.04222909  0.00474058 -0.06047594 -0.02014206  0.05638082  0.03158777
  0.          0.          0.          1.        ]"
722,"[-0.05960457  0.04424269 -0.04161393  0.00216222 -0.01860199 -0.06879968
 -0.04650171  0.00467374 -0.05781955 -0.02347398  0.0578594   0.03179917
  0.          0.          0.          1.        ]"
726,"[-0.06614786  0.03874234 -0.03695039  0.00201805 -0.01490111 -0.06973517
 -0.04644138  0.00460803 -0.05142234 -0.02962897  0.06098939  0.03200384
  0.          0.          0.          1.        ]"
730,"[-0.0676838   0.03896644 -0.0337988   0.00196073 -0.0139336  -0.0674987
 -0.04991611  0.00468452 -0.04966485 -0.03416695  0.06006548  0.03211984
  0.          0.          0.          1.        ]"
734,"[-0.07089152  0.03388901 -0.03267669  0.00207129 -0.00928278 -0.0679714
 -0.05035433  0.0045902  -0.04615259 -0.03838311  0.0603201   0.03215619
  0.          0.          0.          1.        ]"
738,"[-0.07179232  0.03424088 -0.03025334  0.00214012 -0.00870994 -0.06556863
 -0.05354186  0.00466798 -0.04485353 -0.04207323  0.05882043  0.03217728
  0.          0.          0.          1.        ]"
742,"[-0.0737251   0.032172   -0.02777429  0.00230798 -0.00730697 -0.06437634
 -0.05517367  0.00483647 -0.04186952 -0.04541462  0.05853456  0.03224719
  0.          0.          0.          1.        ]"
746,"[-0.07610394  0.02803491 -0.02576963  0.0025178  -0.00490783 -0.06433063
 -0.05549164  0.00495349 -0.03776166 -0.04813992  0.05914765  0.03231373
  0.          0.          0.          1.        ]"
750,"[-0.07815822  0.02444428 -0.02314323  0.00279421 -0.00342815 -0.06398288
 -0.05600248  0.00506892 -0.03348701 -0.05050254  0.05974908  0.03253068
  0.          0.          0.          1.        ]"
754,"[-0.08071412  0.01679186 -0.02109749  0.00298143  0.00135448 -0.06397458
 -0.05610042  0.00533267 -0.0269302  -0.05354554  0.06041091  0.0327713
  0.          0.          0.          1.        ]"
758,"[-0.08214365  0.0130501  -0.01799872  0.00300721  0.00237089 -0.06336013
 -0.05676013  0.00535558 -0.02210516 -0.0552904   0.06079616  0.03304368
  0.          0.          0.          1.        ]"
762,"[-0.08351     0.00714037 -0.01472866  0.00312197  0.00473906 -0.06274768
 -0.05728969  0.0054446  -0.01566715 -0.05704018  0.0611784   0.03344714
  0.          0.          0.          1.        ]"
766,"[-8.42909739e-02  9.49398888e-04 -1.16606086e-02  3.11203846e-03
  7.09152929e-03 -6.33136644e-02 -5.64174527e-02  5.65724479e-03
 -9.30491035e-03 -5.68534723e-02  6.26333783e-02  3.38824094e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]"
770,"[-0.08438556 -0.00603564 -0.0091917   0.0032092   0.01058408 -0.06387377
 -0.05522642  0.0056998  -0.00298219 -0.05590663  0.06408895  0.03414951
  0.          0.          0.          1.        ]"
774,"[-0.08413428 -0.01079498 -0.00683603  0.00320142  0.01264499 -0.06380527
 -0.05487104  0.00560062  0.00183501 -0.05526477  0.06468598  0.03428851
  0.          0.          0.          1.        ]"
778,"[-0.08388351 -0.01310159 -0.00580895  0.00321061  0.01376407 -0.0640365
 -0.0543297   0.00532563  0.00399324 -0.05449325  0.06524093  0.03412591
  0.          0.          0.          1.        ]"
782,"[-0.08412111 -0.01179227 -0.00514008  0.00322289  0.01231141 -0.06394459
 -0.05478465  0.00518149  0.00372925 -0.05489873  0.0649158   0.03400344
  0.          0.          0.          1.        ]"
786,"[-0.08415009 -0.01094132 -0.00639454  0.00326371  0.01250536 -0.06473241
 -0.05380678  0.00508443  0.00205388 -0.05414648  0.06561843  0.0337974
  0.          0.          0.          1.        ]"
790,"[-0.08430437 -0.00301461 -0.01120376  0.00340562  0.00955954 -0.06461571
 -0.05454598  0.0051814  -0.00657474 -0.05529522  0.06435099  0.03353197
  0.          0.          0.          1.        ]"
794,"[-0.08310185  0.00799451 -0.01649273  0.00337265  0.00507305 -0.06355199
 -0.05636708  0.00539123 -0.01761211 -0.05602742  0.06158393  0.0333785
  0.          0.          0.          1.        ]"
798,"[-0.08171293  0.01353242 -0.01953739  0.00333686  0.00320949 -0.06303277
 -0.05708247  0.00552713 -0.02354857 -0.05554803  0.06001434  0.03332443
  0.          0.          0.          1.        ]"
802,"[-0.0781866   0.02628203 -0.02092723  0.00305128 -0.00372897 -0.05947023
 -0.06075546  0.00546739 -0.03338845 -0.05490342  0.05579126  0.03328011
  0.          0.          0.          1.        ]"
806,"[-0.07274968  0.03738363 -0.02349015  0.00312661 -0.00751295 -0.05509759
 -0.06441778  0.00548722 -0.04350722 -0.05299584  0.0504024   0.03318173
  0.          0.          0.          1.        ]"
810,"[-0.06796294  0.04526268 -0.02396181  0.00286564 -0.01100743 -0.05179505
 -0.06661793  0.00541901 -0.05001714 -0.0501039   0.04721995  0.03310921
  0.          0.          0.          1.        ]"
814,"[-0.06465993  0.0505174  -0.02255938  0.00258276 -0.01327062 -0.04784825
 -0.0691106   0.00542422 -0.05371056 -0.04899364  0.04423392  0.03324664
  0.          0.          0.          1.        ]"
818,"[-0.05843585  0.0575072  -0.02280376  0.00232396 -0.01529411 -0.04382439
 -0.07132567  0.00536444 -0.05994314 -0.04487965  0.04042865  0.03326804
  0.          0.          0.          1.        ]"
822,"[-0.05342072  0.06248789 -0.02198476  0.00212124 -0.0170406  -0.04025578
 -0.07301321  0.00535749 -0.06401315 -0.04143157  0.03778334  0.03327152
  0.          0.          0.          1.        ]"
826,"[-0.04631694  0.06840624 -0.02042466  0.00197369 -0.01860924 -0.0350737
 -0.07526866  0.00530438 -0.06892225 -0.03650016  0.03404851  0.03318732
  0.          0.          0.          1.        ]"
830,"[-0.0416747   0.07147558 -0.01990726  0.00193404 -0.01851194 -0.03212709
 -0.07659633  0.00537764 -0.07184961 -0.03318026  0.03128167  0.03314494
  0.          0.          0.          1.        ]"
834,"[-0.03634881  0.07496387 -0.01734993  0.00177492 -0.01901242 -0.02734355
 -0.07831154  0.00541352 -0.07455958 -0.02957341  0.02842748  0.03319966
  0.          0.          0.          1.        ]"
838,"[-0.03002033  0.07799978 -0.0160204   0.00167182 -0.01785024 -0.02327744
 -0.07988347  0.00553076 -0.07760147 -0.02482003  0.02457269  0.03326348
  0.          0.          0.          1.        ]"
842,"[-0.0257155   0.07985147 -0.01429317  0.00162262 -0.01652963 -0.01983753
 -0.08108689  0.00559773 -0.07941866 -0.0217268   0.02150492  0.03337479
  0.          0.          0.          1.        ]"
846,"[-0.01475415  0.08314757 -0.01051834  0.00149638 -0.0087237  -0.01214567
 -0.08377481  0.0060025  -0.08335497 -0.01344631  0.01062943  0.0336511
  0.          0.          0.          1.        ]"
