Image ID,Camera Pose
276,"[-0.08359984  0.01583187  0.05771176  0.00328773  0.02176187  0.10040321
  0.00398044  0.00492858 -0.0557469   0.01545234 -0.08499257  0.03973525
  0.          0.          0.          1.        ]"
285,"[-0.08002228 -0.00641016  0.06423062  0.00377452  0.00299168  0.10182518
  0.01388928  0.00564302 -0.06448033  0.01267959 -0.07906797  0.03993526
  0.          0.          0.          1.        ]"
294,"[-0.08119734 -0.00781963  0.06257854  0.00380302  0.00204651  0.10163779
  0.01535577  0.00555747 -0.06303199  0.01337316 -0.08011464  0.04000137
  0.          0.          0.          1.        ]"
303,"[-0.08697595 -0.01818091  0.05171913  0.00310203 -0.00408885  0.09887439
  0.02788128  0.00603866 -0.05466896  0.02152995 -0.08436821  0.03999228
  0.          0.          0.          1.        ]"
312,"[-0.08572474 -0.02760496  0.04959297  0.00309385 -0.00631141  0.09391158
  0.04136436  0.00665798 -0.05640623  0.03144535 -0.07999847  0.04039226
  0.          0.          0.          1.        ]"
321,"[-0.08519637 -0.03426616  0.04623459  0.00309144 -0.01118131  0.09088159
  0.04675193  0.00649588 -0.05645162  0.03371342 -0.07903701  0.04045521
  0.          0.          0.          1.        ]"
330,"[-0.08437763 -0.041012    0.04205543  0.00261934 -0.01577813  0.08672447
  0.05291641  0.0065297  -0.05658351  0.03697447 -0.07746885  0.04060498
  0.          0.          0.          1.        ]"
339,"[-0.08309097 -0.04261731  0.04301028  0.00280972 -0.01632302  0.08609421
  0.05377337  0.00647374 -0.05830676  0.03663034 -0.07634637  0.04096319
  0.          0.          0.          1.        ]"
348,"[-0.07281194 -0.05450463  0.04793637  0.00334008 -0.02441783  0.08233354
  0.05652597  0.00663065 -0.0683551   0.02864718 -0.07125411  0.04132335
  0.          0.          0.          1.        ]"
357,"[-0.06857534 -0.0638678   0.04229131  0.00297161 -0.02539312  0.07250687
  0.06832402  0.00738008 -0.07226923  0.03512672 -0.06413658  0.04167856
  0.          0.          0.          1.        ]"
366,"[-0.06931503 -0.06791     0.0339689   0.00246377 -0.02108256  0.06139761
  0.07972507  0.00825872 -0.07294642  0.04678455 -0.05531957  0.04235789
  0.          0.          0.          1.        ]"
375,"[-0.06966909 -0.06661153  0.03576799  0.00273749 -0.01793382  0.06180888
  0.08017648  0.00835839 -0.07344946  0.04809152 -0.05350337  0.04234428
  0.          0.          0.          1.        ]"
384,"[-0.0710117  -0.06609942  0.03403577  0.00272544 -0.01668647  0.06003525
  0.0817775   0.00798959 -0.07245087  0.05095944 -0.05219421  0.04238759
  0.          0.          0.          1.        ]"
393,"[-0.07512695 -0.06951796  0.00966561  0.00120776 -0.02183022  0.03660038
  0.09356326  0.00776033 -0.06670541  0.06631662 -0.04150569  0.04323067
  0.          0.          0.          1.        ]"
