Image ID,Ground Truth Pose,Other Pose,Difference
0060,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.],0.0
0072,"[ 0.99848729  0.05441396 -0.00788629  0.05245058 -0.05435146  0.99849033
  0.00793429  0.09876359  0.00830612 -0.00749365  0.99993742  0.08021883
  0.          0.          0.          1.        ]","[ 0.99848729  0.05441396 -0.00788629  0.05245058 -0.05435146  0.99849033
  0.00793429  0.09876359  0.00830612 -0.00749365  0.99993742  0.08021883
  0.          0.          0.          1.        ]",0.0
0084,"[ 0.98578662  0.15388942 -0.06740029  0.08862332 -0.14953944  0.98658717
  0.06545015  0.31300053  0.07656835 -0.05444088  0.99557698  0.17934996
  0.          0.          0.          1.        ]","[ 0.98578662  0.15388942 -0.06740029  0.08862332 -0.14953944  0.98658717
  0.06545015  0.31300053  0.07656835 -0.05444088  0.99557698  0.17934996
  0.          0.          0.          1.        ]",0.0
0098,"[ 0.97283947  0.20580047 -0.10596926 -0.01688139 -0.1913802   0.97260827
  0.13193466  0.53205031  0.13021879 -0.10807083  0.98557788  0.28326675
  0.          0.          0.          1.        ]","[ 0.97283947  0.20580047 -0.10596926 -0.01688139 -0.1913802   0.97260827
  0.13193466  0.53205031  0.13021879 -0.10807083  0.98557788  0.28326675
  0.          0.          0.          1.        ]",0.0
0124,"[ 0.95417517  0.25737691 -0.15266584 -0.0845051  -0.22653407  0.95459378
  0.1934763   0.81920314  0.19553019 -0.15002628  0.9691543   0.38868243
  0.          0.          0.          1.        ]","[ 0.95417517  0.25737691 -0.15266584 -0.0845051  -0.22653407  0.95459378
  0.1934763   0.81920314  0.19553019 -0.15002628  0.9691543   0.38868243
  0.          0.          0.          1.        ]",0.0
0136,"[ 0.9343009   0.31848437 -0.16015464 -0.14315918 -0.28977782  0.94017726
  0.17915229  1.10454977  0.20763096 -0.12097289  0.97069818  0.25268584
  0.          0.          0.          1.        ]","[ 0.9343009   0.31848437 -0.16015464 -0.14315918 -0.28977782  0.94017726
  0.17915229  1.10454977  0.20763096 -0.12097289  0.97069818  0.25268584
  0.          0.          0.          1.        ]",0.0
0150,"[ 0.93579215  0.31615612 -0.15600766 -0.14966305 -0.28714034  0.94023532
  0.18305168  1.09422445  0.20455684 -0.12650222  0.97064602  0.25775781
  0.          0.          0.          1.        ]","[ 0.93579215  0.31615612 -0.15600766 -0.14966305 -0.28714034  0.94023532
  0.18305168  1.09422445  0.20455684 -0.12650222  0.97064602  0.25775781
  0.          0.          0.          1.        ]",0.0
0162,"[ 0.95303124  0.26386163 -0.14868936 -0.17279194 -0.23569654  0.95443732
  0.1830207   0.92460817  0.1902068  -0.13937886  0.97179985  0.39647949
  0.          0.          0.          1.        ]","[ 0.95303124  0.26386163 -0.14868936 -0.17279194 -0.23569654  0.95443732
  0.1830207   0.92460817  0.1902068  -0.13937886  0.97179985  0.39647949
  0.          0.          0.          1.        ]",0.0
0176,"[ 0.96903378  0.17945695 -0.16961364  0.02610475 -0.14830947  0.97218335
  0.18128374  0.60663956  0.19742818 -0.15051475  0.96869367  0.42251444
  0.          0.          0.          1.        ]","[ 0.96903378  0.17945695 -0.16961364  0.02610475 -0.14830947  0.97218335
  0.18128374  0.60663956  0.19742818 -0.15051475  0.96869367  0.42251444
  0.          0.          0.          1.        ]",0.0
0188,"[ 0.97993392  0.10890863 -0.16693851  0.13537513 -0.08602881  0.98659748
  0.13865247  0.35374096  0.17980155 -0.12150875  0.97616959  0.41772813
  0.          0.          0.          1.        ]","[ 0.97993392  0.10890863 -0.16693851  0.13537513 -0.08602881  0.98659748
  0.13865247  0.35374096  0.17980155 -0.12150875  0.97616959  0.41772813
  0.          0.          0.          1.        ]",0.0
0202,"[ 0.98410475  0.04169203 -0.17262563  0.2732079  -0.02019037  0.99201572
  0.12448737  0.14148706  0.17643747 -0.11902323  0.97708917  0.41518632
  0.          0.          0.          1.        ]","[ 0.98410475  0.04169203 -0.17262563  0.2732079  -0.02019037  0.99201572
  0.12448737  0.14148706  0.17643747 -0.11902323  0.97708917  0.41518632
  0.          0.          0.          1.        ]",0.0
0226,"[ 0.98280877  0.00535436 -0.18454881  0.48537886  0.02117641  0.98971331
  0.14148903  0.15627727  0.18340801 -0.14296475  0.9725855   0.65109259
  0.          0.          0.          1.        ]","[ 0.98280877  0.00535436 -0.18454881  0.48537886  0.02117641  0.98971331
  0.14148903  0.15627727  0.18340801 -0.14296475  0.9725855   0.65109259
  0.          0.          0.          1.        ]",0.0
0240,"[ 0.99095398  0.01744833 -0.13306293  0.69400215  0.00121595  0.99030393
  0.13891247  0.33021751  0.13419652 -0.13781765  0.98132443  0.76527625
  0.          0.          0.          1.        ]","[ 0.99095398  0.01744833 -0.13306293  0.69400215  0.00121595  0.99030393
  0.13891247  0.33021751  0.13419652 -0.13781765  0.98132443  0.76527625
  0.          0.          0.          1.        ]",0.0
0252,"[ 0.99786603  0.03391032 -0.05579815  0.95935059 -0.02770553  0.99371666
  0.10844172  0.4337697   0.05912485 -0.1066644   0.99253565  0.89234942
  0.          0.          0.          1.        ]","[ 0.99786603  0.03391032 -0.05579815  0.95935059 -0.02770553  0.99371666
  0.10844172  0.4337697   0.05912485 -0.1066644   0.99253565  0.89234942
  0.          0.          0.          1.        ]",0.0
0266,"[ 0.99536198 -0.09458005 -0.01758348  1.14788961  0.09435222  0.99544913
 -0.01336673  0.7061379   0.01876768  0.0116457   0.99975604  1.07297266
  0.          0.          0.          1.        ]","[ 0.99536198 -0.09458005 -0.01758348  1.14788961  0.09435222  0.99544913
 -0.01336673  0.7061379   0.01876768  0.0116457   0.99975604  1.07297266
  0.          0.          0.          1.        ]",0.0
0278,"[ 0.97644335 -0.21131991  0.04361495  1.33815908  0.21357967  0.97531629
 -0.0560519   0.80758482 -0.03069349  0.06404678  0.99747479  1.26725411
  0.          0.          0.          1.        ]","[ 0.97644335 -0.21131991  0.04361495  1.33815908  0.21357967  0.97531629
 -0.0560519   0.80758482 -0.03069349  0.06404678  0.99747479  1.26725411
  0.          0.          0.          1.        ]",0.0
0292,"[ 0.93573767 -0.33450544  0.11180854  1.50665009  0.34290767  0.93701178
 -0.0665074   0.90953463 -0.08251883  0.10057348  0.99150169  1.40389967
  0.          0.          0.          1.        ]","[ 0.93573767 -0.33450544  0.11180854  1.50665009  0.34290767  0.93701178
 -0.0665074   0.90953463 -0.08251883  0.10057348  0.99150169  1.40389967
  0.          0.          0.          1.        ]",0.0
0304,"[ 0.90843135 -0.3853378   0.16207165  1.52389717  0.40086856  0.91295254
 -0.07630228  0.98637527 -0.11856157  0.13428482  0.98382455  1.42927134
  0.          0.          0.          1.        ]","[ 0.90843135 -0.3853378   0.16207165  1.52389717  0.40086856  0.91295254
 -0.07630228  0.98637527 -0.11856157  0.13428482  0.98382455  1.42927134
  0.          0.          0.          1.        ]",0.0
0330,"[ 0.86853361 -0.44305536  0.2221515   1.5104841   0.46854398  0.88011754
 -0.07654876  1.07864821 -0.16160409  0.17057291  0.97200257  1.39088941
  0.          0.          0.          1.        ]","[ 0.86853361 -0.44305536  0.2221515   1.5104841   0.46854398  0.88011754
 -0.07654876  1.07864821 -0.16160409  0.17057291  0.97200257  1.39088941
  0.          0.          0.          1.        ]",0.0
0344,"[ 0.86117375 -0.44718942  0.24166374  1.49124479  0.47719243  0.87503278
 -0.08127084  1.05430806 -0.17512025  0.18530843  0.96695071  1.33764982
  0.          0.          0.          1.        ]","[ 0.86117375 -0.44718942  0.24166374  1.49124479  0.47719243  0.87503278
 -0.08127084  1.05430806 -0.17512025  0.18530843  0.96695071  1.33764982
  0.          0.          0.          1.        ]",0.0
0356,"[ 0.88549024 -0.4080424   0.2222802   1.42397606  0.43376669  0.89741409
 -0.08058837  1.00725818 -0.16659391  0.16777796  0.97164655  1.26406133
  0.          0.          0.          1.        ]","[ 0.88549024 -0.4080424   0.2222802   1.42397606  0.43376669  0.89741409
 -0.08058837  1.00725818 -0.16659391  0.16777796  0.97164655  1.26406133
  0.          0.          0.          1.        ]",0.0
0370,"[ 0.9476372  -0.28038681  0.15286274  1.35978436  0.29260194  0.9540987
 -0.06387293  0.94870996 -0.12793703  0.1052563   0.98618114  1.09520292
  0.          0.          0.          1.        ]","[ 0.9476372  -0.28038681  0.15286274  1.35978436  0.29260194  0.9540987
 -0.06387293  0.94870996 -0.12793703  0.1052563   0.98618114  1.09520292
  0.          0.          0.          1.        ]",0.0
