Image ID,Ground Truth Pose,Other Pose,Difference
0098,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.],"[ 2.91932443e-02  6.62580479e-02  9.97375368e-01 -3.28650557e-01
  3.07464162e-02  9.97268976e-01 -6.71509297e-02  4.86345458e-03
 -9.99100802e-01  3.26260717e-02  2.70763194e-02  5.62414852e-04
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]",2.000239505359387
0136,"[ 0.97051748  0.16735246 -0.17346191 -0.15835796 -0.04333017  0.82908044
  0.5574479   0.75442946  0.23710415 -0.53349684  0.81188845  0.22408057
  0.          0.          0.          1.        ]","[ 0.08874257  0.04026959  0.99524024 -0.32496144 -0.08573691  0.99578281
 -0.03264664  0.56538941 -0.99235777 -0.08243167  0.09182091  0.14240561
  0.          0.          0.          1.        ]",2.200236040993229
0370,"[ 0.66817898 -0.28761112  0.68616091  0.81327059  0.29979331 -0.73999069
 -0.60211109  0.32584843  0.6809265   0.60802445 -0.40822227 -1.97602181
  0.          0.          0.          1.        ]","[-0.12992849  0.30266327  0.94419995  0.5357186   0.53081924  0.82554611
 -0.19158437  0.40210915 -0.83746618  0.47630723 -0.26792144 -1.31908513
  0.          0.          0.          1.        ]",2.565494267128208
0278,"[ 0.80630943 -0.43817984  0.39732046  0.26279683  0.16182724 -0.48267486
 -0.86071882 -0.13246753  0.56892624  0.75830305 -0.31827583 -0.52120198
  0.          0.          0.          1.        ]","[-0.05154861  0.26193743  0.9637072   0.69489937  0.44578828  0.8695496
 -0.21250006  0.25145741 -0.89365293  0.41865529 -0.16159272 -1.29775173
  0.          0.          0.          1.        ]",2.6631559203657478
0304,"[ 0.80414205 -0.34380527  0.48492633  0.4420752   0.08252673 -0.74330431
 -0.66384337  0.34830353  0.58868065  0.57384385 -0.56934911 -0.86203248
  0.          0.          0.          1.        ]","[-0.09762956  0.32994512  0.93893807  0.87106313  0.62314478  0.7558834
 -0.20082548  0.42198027 -0.77598908  0.56548784 -0.27940015 -1.47045882
  0.          0.          0.          1.        ]",2.5949143943707944
0150,"[ 0.96873791  0.17723146 -0.17359676 -0.14650646 -0.05209108  0.82945742
  0.55613562  0.76689891  0.24255586 -0.52970683  0.81275905  0.14399866
  0.          0.          0.          1.        ]","[ 0.08613843  0.03501215  0.99566778 -0.32083988 -0.08233383  0.99621395
 -0.02790838  0.55471515 -0.99287531 -0.07957319  0.08869498  0.14860911
  0.          0.          0.          1.        ]",2.2056364383806115
0344,"[ 0.73693953 -0.17296742  0.65345419  0.8196613   0.12456322 -0.91540269
 -0.38278178  0.71919654  0.66438255  0.3634834  -0.65305103 -1.61479046
  0.          0.          0.          1.        ]","[-0.13549262  0.37664503  0.91639526  0.78455429  0.69421347  0.69600592
 -0.18342127  0.49377694 -0.70690125  0.61132174 -0.35577573 -1.43858809
  0.          0.          0.          1.        ]",2.4912934202866777
0240,"[ 0.9429948  -0.27180494  0.19204913 -0.22649358  0.32298513  0.60825704
 -0.72505444 -0.41114155  0.08025815  0.74575158  0.66137222 -0.79959642
  0.          0.          0.          1.        ]","[ 0.06861576  0.05247668  0.99626208  0.15211391  0.21842835  0.97359636
 -0.06632664 -0.20373503 -0.9734377   0.22216294  0.05534167 -0.69260438
  0.          0.          0.          1.        ]",2.011040640088669
0188,"[ 0.99274182  0.11774284  0.02450077 -0.52070506 -0.11899722  0.99117941
  0.05833508 -0.17093509 -0.0174161  -0.06082724  0.99799635 -0.23700701
  0.          0.          0.          1.        ]","[ 0.09737811  0.06192563  0.99331906 -0.20382262  0.12467087  0.98944185
 -0.07390579 -0.17456005 -0.9874081   0.13103477  0.08862966 -0.15140755
  0.          0.          0.          1.        ]",1.932010245296968
0226,"[ 0.97406197 -0.0026021   0.22626654 -0.5672524   0.13888791  0.79629708
 -0.58874537 -0.42622984 -0.17864339  0.60490013  0.77600414 -0.4920179
  0.          0.          0.          1.        ]","[ 0.12114475  0.04809177  0.99146916  0.02259734  0.22715772  0.97097701
 -0.07485353 -0.37335052 -0.96629362  0.23428801  0.10670434 -0.49594593
  0.          0.          0.          1.        ]",1.7816859968828003
