Image ID,Ground Truth Pose,Other Pose,Difference
0098,"[ 0.14624314  0.03243025 -0.05540133  0.00466767 -0.06286521  0.10026054
 -0.10725611  0.00502009  0.01299976  0.12001745  0.10457009  0.08687646
  0.          0.          0.          1.        ]","[ 0.14624314  0.03243025 -0.05540133  0.00466767 -0.06286521  0.10026054
 -0.10725611  0.00502009  0.01299976  0.12001745  0.10457009  0.08687646
  0.          0.          0.          1.        ]",0.0
0136,"[ 0.12739043  0.08091787 -0.05226914  0.00334792 -0.09078696  0.1298242
 -0.02028525  0.01130748  0.03221012  0.04589185  0.14954776  0.08874394
  0.          0.          0.          1.        ]","[ 0.12739043  0.08091787 -0.05226914  0.00334792 -0.09078696  0.1298242
 -0.02028525  0.01130748  0.03221012  0.04589185  0.14954776  0.08874394
  0.          0.          0.          1.        ]",0.0
0370,"[ 0.06971473 -0.0997446   0.10343577  0.01144544 -0.0849813  -0.12132547
 -0.0597193   0.0077357   0.11587114 -0.0289695  -0.10603175  0.07040836
  0.          0.          0.          1.        ]","[ 0.06971473 -0.0997446   0.10343577  0.01144544 -0.0849813  -0.12132547
 -0.0597193   0.0077357   0.11587114 -0.0289695  -0.10603175  0.07040836
  0.          0.          0.          1.        ]",0.0
0278,"[ 0.09164605 -0.12174506  0.04782497  0.00685781 -0.09548474 -0.10217961
 -0.07713674  0.00391611  0.08939659  0.01567018 -0.13141834  0.08253278
  0.          0.          0.          1.        ]","[ 0.09164605 -0.12174506  0.04782497  0.00685781 -0.09548474 -0.10217961
 -0.07713674  0.00391611  0.08939659  0.01567018 -0.13141834  0.08253278
  0.          0.          0.          1.        ]",0.0
0304,"[ 0.08766293 -0.10617642  0.08093124  0.00835191 -0.10541798 -0.11445896
 -0.03597612  0.00792284  0.08191669 -0.03367197 -0.13290575  0.07969231
  0.          0.          0.          1.        ]","[ 0.08766293 -0.10617642  0.08093124  0.00835191 -0.10541798 -0.11445896
 -0.03597612  0.00792284  0.08191669 -0.03367197 -0.13290575  0.07969231
  0.          0.          0.          1.        ]",0.0
0150,"[ 0.12654403  0.08216486 -0.05237965  0.00344669 -0.09213819  0.12883445
 -0.02050172  0.0114114   0.03170561  0.04646184  0.14947955  0.08807654
  0.          0.          0.          1.        ]","[ 0.12654403  0.08216486 -0.05237965  0.00344669 -0.09213819  0.12883445
 -0.02050172  0.0114114   0.03170561  0.04646184  0.14947955  0.08807654
  0.          0.          0.          1.        ]",0.0
0344,"[ 0.07500429 -0.0751195   0.11932938  0.0114987  -0.10509817 -0.11989095
 -0.00941373  0.01101385  0.09400434 -0.07410334 -0.10573535  0.07341885
  0.          0.          0.          1.        ]","[ 0.07500429 -0.0751195   0.11932938  0.0114987  -0.10509817 -0.11989095
 -0.00941373  0.01101385  0.09400434 -0.07410334 -0.10573535  0.07341885
  0.          0.          0.          1.        ]",0.0
0240,"[ 0.1439346  -0.06133931 -0.03206873  0.00278008 -0.03550708 -0.00191516
 -0.15570377  0.00159365  0.05941516  0.14745137 -0.01536284  0.08021265
  0.          0.          0.          1.        ]","[ 0.1439346  -0.06133931 -0.03206873  0.00278008 -0.03550708 -0.00191516
 -0.15570377  0.00159365  0.05941516  0.14745137 -0.01536284  0.08021265
  0.          0.          0.          1.        ]",0.0
0188,"[ 1.42287446e-01  5.27331883e-02 -4.98154334e-02  3.28131337e-04
 -7.24716655e-02  9.84983478e-02 -1.02732745e-01  3.59552262e-03
 -3.19754117e-03  1.14128743e-01  1.11680300e-01  8.49012515e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]","[ 1.42287446e-01  5.27331883e-02 -4.98154334e-02  3.28131337e-04
 -7.24716655e-02  9.84983478e-02 -1.02732745e-01  3.59552262e-03
 -3.19754117e-03  1.14128743e-01  1.11680300e-01  8.49012515e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]",0.0
0226,"[ 1.56851132e-01 -8.06869830e-03 -2.89948911e-02 -5.97926572e-05
 -2.81490383e-02  1.51215224e-02 -1.56483408e-01  1.46790468e-03
  1.06507888e-02  1.58790180e-01  1.34285150e-02  8.27759992e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]","[ 1.56851132e-01 -8.06869830e-03 -2.89948911e-02 -5.97926572e-05
 -2.81490383e-02  1.51215224e-02 -1.56483408e-01  1.46790468e-03
  1.06507888e-02  1.58790180e-01  1.34285150e-02  8.27759992e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]",0.0
0124,"[ 0.13363555  0.06784233 -0.05520003  0.00336615 -0.08454156  0.12602758
 -0.0497781   0.01024635  0.02241317  0.07086997  0.14136188  0.08917754
  0.          0.          0.          1.        ]","[ 0.13363555  0.06784233 -0.05520003  0.00336615 -0.08454156  0.12602758
 -0.0497781   0.01024635  0.02241317  0.07086997  0.14136188  0.08917754
  0.          0.          0.          1.        ]",0.0
