Image ID,Ground Truth Pose,Other Pose,Difference
0270,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.],0.0
0288,"[ 0.99930841  0.01673315  0.03320759 -0.04360072 -0.01626289  0.99976432
 -0.01438137  0.15627295 -0.0334404   0.01383137  0.999345    0.15327053
  0.          0.          0.          1.        ]","[ 0.99930841  0.01673315  0.03320759 -0.04360072 -0.01626289  0.99976432
 -0.01438137  0.15627295 -0.0334404   0.01383137  0.999345    0.15327053
  0.          0.          0.          1.        ]",0.0
0309,"[ 0.99609715  0.06786165  0.05643772  0.06032501 -0.06334507  0.99491572
 -0.07829496  0.46875912 -0.061464    0.07441434  0.99533147  0.1955076
  0.          0.          0.          1.        ]","[ 0.99609715  0.06786165  0.05643772  0.06032501 -0.06334507  0.99491572
 -0.07829496  0.46875912 -0.061464    0.07441434  0.99533147  0.1955076
  0.          0.          0.          1.        ]",0.0
0330,"[ 0.99424005  0.08360799  0.06705528  0.09654488 -0.07841787  0.99397182
 -0.07662031  0.55712175 -0.07305713  0.07092065  0.99480295  0.31786713
  0.          0.          0.          1.        ]","[ 0.99424005  0.08360799  0.06705528  0.09654488 -0.07841787  0.99397182
 -0.07662031  0.55712175 -0.07305713  0.07092065  0.99480295  0.31786713
  0.          0.          0.          1.        ]",0.0
0372,"[ 0.99817729  0.05383726  0.02727056  0.11705291 -0.05091029  0.99382895
 -0.09855054  0.66540194 -0.03240797  0.09698255  0.99475831  0.33277753
  0.          0.          0.          1.        ]","[ 0.99817729  0.05383726  0.02727056  0.11705291 -0.05091029  0.99382895
 -0.09855054  0.66540194 -0.03240797  0.09698255  0.99475831  0.33277753
  0.          0.          0.          1.        ]",0.0
0393,"[ 0.99972099  0.02288282 -0.00585929 -0.01641675 -0.02337129  0.9942131
 -0.10485276  0.61069107  0.00342606  0.10496045  0.99447048  0.30019474
  0.          0.          0.          1.        ]","[ 0.99972099  0.02288282 -0.00585929 -0.01641675 -0.02337129  0.9942131
 -0.10485276  0.61069107  0.00342606  0.10496045  0.99447048  0.30019474
  0.          0.          0.          1.        ]",0.0
0414,"[ 0.9989475  -0.01003337 -0.04475719 -0.04323536  0.00657131  0.99702185
 -0.07683905  0.51712787  0.04539485  0.07646406  0.99603844  0.22841322
  0.          0.          0.          1.        ]","[ 0.9989475  -0.01003337 -0.04475719 -0.04323536  0.00657131  0.99702185
 -0.07683905  0.51712787  0.04539485  0.07646406  0.99603844  0.22841322
  0.          0.          0.          1.        ]",0.0
0435,"[ 0.99195319  0.03392314 -0.12197557 -0.03748405 -0.0242999   0.9965359
  0.07953448  0.24852157  0.1242511  -0.07593048  0.98934132  0.13612241
  0.          0.          0.          1.        ]","[ 0.99195319  0.03392314 -0.12197557 -0.03748405 -0.0242999   0.9965359
  0.07953448  0.24852157  0.1242511  -0.07593048  0.98934132  0.13612241
  0.          0.          0.          1.        ]",0.0
0456,"[ 0.96389747  0.23258105 -0.12964471  0.05772266 -0.19439396  0.94738746
  0.25429907  0.38276017  0.18196891 -0.21991608  0.95839667  0.23479643
  0.          0.          0.          1.        ]","[ 0.96389747  0.23258105 -0.12964471  0.05772266 -0.19439396  0.94738746
  0.25429907  0.38276017  0.18196891 -0.21991608  0.95839667  0.23479643
  0.          0.          0.          1.        ]",0.0
0477,"[ 0.94729447  0.29559267 -0.12352408  0.16958487 -0.24364269  0.91508788
  0.32132912  0.47648206  0.20801793 -0.27429754  0.93887669  0.28536326
  0.          0.          0.          1.        ]","[ 0.94729447  0.29559267 -0.12352408  0.16958487 -0.24364269  0.91508788
  0.32132912  0.47648206  0.20801793 -0.27429754  0.93887669  0.28536326
  0.          0.          0.          1.        ]",0.0
0498,"[ 0.94099075  0.3187252  -0.11380098  0.22870857 -0.25992218  0.8959648
  0.36012161  0.52013373  0.2167415  -0.30929172  0.92593831  0.38511029
  0.          0.          0.          1.        ]","[ 0.94099075  0.3187252  -0.11380098  0.22870857 -0.25992218  0.8959648
  0.36012161  0.52013373  0.2167415  -0.30929172  0.92593831  0.38511029
  0.          0.          0.          1.        ]",0.0
0540,"[ 0.94640994  0.31111988 -0.08667514  0.07857287 -0.26306042  0.89827704
  0.35199085  0.50402987  0.18736964 -0.31032684  0.93198168  0.39198574
  0.          0.          0.          1.        ]","[ 0.94640994  0.31111988 -0.08667514  0.07857287 -0.26306042  0.89827704
  0.35199085  0.50402987  0.18736964 -0.31032684  0.93198168  0.39198574
  0.          0.          0.          1.        ]",0.0
