Image ID,Ground Truth Pose,Other Pose,Difference
0288,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.],"[ 0.94524124  0.18324806  0.27007249 -1.08769344  0.15590849  0.47344801
 -0.86691379  0.23896282 -0.28672555  0.86154926  0.41895266  0.40419344
  0.          0.          0.          1.        ]",1.9308725417328523
0582,"[ 0.99883593  0.04212208 -0.02350591 -1.0292493  -0.04788851  0.80745219
 -0.58798614 -0.12487354 -0.00578735  0.58842733  0.80852941  0.5954405
  0.          0.          0.          1.        ]","[ 0.96296027  0.23919873  0.12446455 -1.02721702 -0.07190952  0.67268382
 -0.73642754 -0.20221847 -0.25987781  0.70020029  0.66496848  0.33826648
  0.          0.          0.          1.        ]",0.5220973476136682
0540,"[ 0.86898792 -0.46189266 -0.17752523 -0.47637209  0.03804838  0.42006515
 -0.90669598  0.1613555   0.4933683   0.78115336  0.38260582  0.59819286
  0.          0.          0.          1.        ]","[ 0.90735098  0.37016219  0.19923369 -0.71981775 -0.16150194  0.74452593
 -0.64776404  0.20385881 -0.3881124   0.55557274  0.73532828  0.95460333
  0.          0.          0.          1.        ]",1.4792849277136981
0645,"[ 0.82696649  0.21022031  0.52147287 -0.53335542 -0.55951047  0.39915491
  0.72637696  0.37628094 -0.0554493  -0.89245883  0.44770812  0.56649074
  0.          0.          0.          1.        ]","[ 0.98594942  0.10900044  0.12658058  0.23166869  0.10123699  0.21284278
 -0.97182767 -0.08346744 -0.1328714   0.97098755  0.19881737  0.81185885
  0.          0.          0.          1.        ]",2.8184869234711774
0771,"[ 0.39198891  0.90836861  0.14564099  0.29405833 -0.86616163  0.31105967
  0.39115969 -0.30959002  0.31001424 -0.27947892  0.90872588  0.87055097
  0.          0.          0.          1.        ]","[ 0.97771356  0.16316666 -0.13210909  1.28462197 -0.1819617   0.34472219
 -0.92089988 -0.98944279 -0.10471921  0.92441507  0.36672967  1.58891588
  0.          0.          0.          1.        ]",2.6534687135205197
0270,"[ 0.99462676  0.05694373 -0.08645828  0.01106479 -0.06253274  0.99602886
 -0.06337338 -0.06906678  0.08250618  0.06843939  0.99423785  0.12735708
  0.          0.          0.          1.        ]","[ 0.95662226  0.16394851  0.24082091 -1.13119857  0.13493483  0.48326831
 -0.86501117  0.33812231 -0.2581984   0.85998408  0.44018287  0.08512283
  0.          0.          0.          1.        ]",1.8938051123393491
0477,"[ 0.70988096 -0.45117226 -0.54084431 -0.59667185 -0.1380867   0.66383783
 -0.735018    0.02749437  0.69065264  0.59645873  0.40894503  1.14465933
  0.          0.          0.          1.        ]","[ 0.91635319  0.36674123  0.16061668 -0.64103657 -0.16985961  0.71938915
 -0.67351834  0.34513301 -0.36255282  0.58989838  0.72150908  0.81194108
  0.          0.          0.          1.        ]",1.622369716002235
0561,"[ 0.96830972 -0.24828917 -0.02699559 -0.77373277  0.12576101  0.5781146
 -0.80620578  0.09097058  0.21577859  0.77726189  0.59101912  0.6734793
  0.          0.          0.          1.        ]","[ 0.94087698  0.29488548  0.16671247 -0.96015338 -0.10659683  0.72487728
 -0.68058065 -0.01326336 -0.32153944  0.62257163  0.71345423  0.64188246
  0.          0.          0.          1.        ]",0.8937958406675044
0309,"[ 0.97668376 -0.04236753  0.21046115  0.17927006 -0.02209014  0.95529675
  0.29482236  0.18256118 -0.21354375 -0.29259729  0.93208689  0.16487767
  0.          0.          0.          1.        ]","[ 0.92770156  0.24595345  0.28084986 -0.83572299  0.15696257  0.42559891
 -0.8911949   0.43149536 -0.33872184  0.87084583  0.35622331  0.7923586
  0.          0.          0.          1.        ]",2.2352984507917317
0603,"[ 0.97421663  0.21839195  0.05663039 -0.84296454 -0.21060734  0.97031596
 -0.1188762  -0.05475255 -0.08091106  0.10388423  0.99129287  0.69619763
  0.          0.          0.          1.        ]","[ 0.9799144   0.15701363  0.12294079 -0.72642014  0.01705963  0.54823347
 -0.83615131  0.04487793 -0.1986874   0.82145404  0.53454329  0.31275043
  0.          0.          0.          1.        ]",1.2886445419010122
0498,"[ 0.66629503 -0.49915182 -0.55398411 -0.48517644 -0.28657503  0.514459
 -0.80821207  0.07552747  0.68842269  0.69726568  0.19973707  1.10203445
  0.          0.          0.          1.        ]","[ 0.90975472  0.3773078   0.17316216 -0.50392214 -0.18612355  0.74353932
 -0.64226733  0.25970478 -0.37108535  0.55207621  0.74666426  0.90621246
  0.          0.          0.          1.        ]",1.7209553372394748
0330,"[ 0.96035572 -0.11035573  0.25600496  0.10064327  0.02747145  0.9513053
  0.30702376  0.19622061 -0.27742075 -0.28781921  0.9166231   0.31542641
  0.          0.          0.          1.        ]","[ 0.92066198  0.26002063  0.29115414 -0.70970376  0.15945597  0.43028957
 -0.88849574  0.34303924 -0.35630781  0.86443055  0.3546894   0.9689996
  0.          0.          0.          1.        ]",2.1478319279131877
0393,"[ 0.96638073 -0.11502322  0.22995222 -0.71145839  0.03176448  0.94091222
  0.33715766  0.16615417 -0.25514591 -0.31851836  0.91293302  1.26893716
  0.          0.          0.          1.        ]","[ 0.95334873  0.21016665  0.2166937  -0.86328593  0.12063899  0.39276742
 -0.91169071  0.37786888 -0.27671721  0.89530092  0.34909003  1.07639397
  0.          0.          0.          1.        ]",1.9674264434221589
0435,"[ 0.9961495  -0.08367403 -0.02616921 -1.03010378  0.0828795   0.99610488
 -0.03010151  0.03651675  0.0285859   0.02781659  0.99920431  1.19844973
  0.          0.          0.          1.        ]","[ 0.97486283  0.17754656  0.13460909 -1.06043655  0.01462707  0.55185235
 -0.83381355  0.32877983 -0.22232506  0.81482281  0.53538338  0.51068348
  0.          0.          0.          1.        ]",1.548978972452189
0456,"[ 0.91879372 -0.24163492 -0.312139   -0.71339312  0.06708206  0.87482735
 -0.47976779 -0.07771229  0.38899633  0.41986867  0.81999529  0.9870534
  0.          0.          0.          1.        ]","[ 0.93403709  0.32485458  0.1484729  -0.84720878 -0.12128625  0.67945548
 -0.72362273  0.31799575 -0.3359529   0.65788278  0.67403701  0.70647956
  0.          0.          0.          1.        ]",1.234156852634925
0750,"[ 0.56229589  0.58847782  0.58096236  0.13113971 -0.76628365  0.10670205
  0.63358026 -0.32370453  0.31085807 -0.80144167  0.51093897  0.79175321
  0.          0.          0.          1.        ]","[ 0.98334077  0.18064594  0.02019723  1.1763241  -0.0021171   0.12248781
 -0.99246779 -0.79903251 -0.18175917  0.97589128  0.12082973  0.68486346
  0.          0.          0.          1.        ]",2.961391064489007
0624,"[ 0.89901666  0.34037034  0.27553048 -0.44473118 -0.43562619  0.75934839
  0.48334242  0.62533505 -0.04470824 -0.55456124  0.8309411   0.8044627
  0.          0.          0.          1.        ]","[ 0.97597873  0.21168188  0.05153944 -0.17702723 -0.05954445  0.48672946
 -0.87152104 -0.02087056 -0.20957096  0.84751705  0.4876421   0.58797502
  0.          0.          0.          1.        ]",2.1842712481065574
0372,"[ 0.97219882 -0.10362138  0.20998139 -0.20488527  0.0288716   0.94295828
  0.33165661  0.20928792 -0.23237043 -0.31637366  0.91973464  1.16690006
  0.          0.          0.          1.        ]","[ 0.93872743  0.23779412  0.24948901 -0.64440446  0.1381188   0.40365957
 -0.90442365  0.40574542 -0.31577525  0.88346644  0.34608245  1.11038808
  0.          0.          0.          1.        ]",1.9901090267395034
0729,"[ 0.6506624   0.15049602  0.74430466  0.16909448 -0.72945618 -0.14851257
  0.66771081 -0.11772684  0.21102635 -0.97739195  0.01314865  0.97480242
  0.          0.          0.          1.        ]","[ 0.9699372   0.1315222   0.2047528   0.93147339  0.21757453 -0.09178299
 -0.97171867 -0.28095682 -0.10900976  0.98705511 -0.11763964  0.87201241
  0.          0.          0.          1.        ]",2.9288631636411497
0414,"[ 0.97527509 -0.09118874  0.20130365 -0.95477778  0.02632775  0.95235444
  0.30385511  0.17502546 -0.21942068 -0.29104242  0.93120835  1.28664673
  0.          0.          0.          1.        ]","[ 0.9676248   0.17227624  0.18445351 -0.95670657  0.09870146  0.41433295
 -0.90475756  0.39862656 -0.23229339  0.89367169  0.38391493  0.92090897
  0.          0.          0.          1.        ]",1.9267107995225994
0708,"[ 0.78522548 -0.12294215  0.60688233  0.14991389 -0.6105584  -0.31698872
  0.72576624 -0.25300347  0.10314758 -0.94042725 -0.323971    0.77110334
  0.          0.          0.          1.        ]","[ 0.95619151  0.13559309  0.25944624  0.63594169  0.28738766 -0.26606221
 -0.9201191  -0.25017606 -0.05573295  0.95437172 -0.29337421  0.83372951
  0.          0.          0.          1.        ]",2.755216188806711
0666,"[ 0.81200206  0.07718421  0.57852855 -0.3961267  -0.5785803  -0.02397359
  0.81527304  0.11210674  0.07679558 -0.99672862  0.02519062  0.74757221
  0.          0.          0.          1.        ]","[ 0.96894731  0.07943432  0.23416068  0.47411134  0.24033829 -0.07994021
 -0.96739188 -0.29037595 -0.05812526  0.99362962 -0.09654894  0.93184798
  0.          0.          0.          1.        ]",2.9904338151057184
