Image ID,Ground Truth Pose,Other Pose,Difference
0288,"[ 0.12599475  0.02111262 -0.04207079  0.00926934 -0.0184999  -0.0883287
 -0.09973047 -0.00515934 -0.04328335  0.09921023 -0.07983892  0.06451727
  0.          0.          0.          1.        ]","[ 0.12599475  0.02111262 -0.04207079  0.00926934 -0.0184999  -0.0883287
 -0.09973047 -0.00515934 -0.04328335  0.09921023 -0.07983892  0.06451727
  0.          0.          0.          1.        ]",0.0
0582,"[ 0.12508051 -0.00240101 -0.04939102  0.00334302 -0.01367126 -0.13078459
 -0.02826411 -0.00587835 -0.04752194  0.03130493 -0.12186894  0.06794576
  0.          0.          0.          1.        ]","[ 0.12508051 -0.00240101 -0.04939102  0.00334302 -0.01367126 -0.13078459
 -0.02826411 -0.00587835 -0.04752194  0.03130493 -0.12186894  0.06794576
  0.          0.          0.          1.        ]",0.0
0540,"[ 8.95348225e-02 -8.21911137e-02 -5.76065036e-02  6.52643460e-03
 -6.86408063e-02 -1.06463632e-01  4.52140180e-02 -4.23027030e-03
 -7.32279126e-02 -6.99419275e-04 -1.12816466e-01  6.79616078e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]","[ 8.95348225e-02 -8.21911137e-02 -5.76065036e-02  6.52643460e-03
 -6.86408063e-02 -1.06463632e-01  4.52140180e-02 -4.23027030e-03
 -7.32279126e-02 -6.99419275e-04 -1.12816466e-01  6.79616078e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]",0.0
0645,"[ 0.0947135   0.07246031  0.06220313  0.00619833  0.03965202  0.04985945
 -0.11845727 -0.00299275 -0.08687603  0.10175416  0.0137484   0.06777907
  0.          0.          0.          1.        ]","[ 0.0947135   0.07246031  0.06220313  0.00619833  0.03965202  0.04985945
 -0.11845727 -0.00299275 -0.08687603  0.10175416  0.0137484   0.06777907
  0.          0.          0.          1.        ]",0.0
0771,"[ 0.01805906  0.13277486 -0.01162241  0.0109625   0.03833731 -0.01640766
 -0.12787263 -0.00694193 -0.12764989  0.01385636 -0.04004848  0.06952982
  0.          0.          0.          1.        ]","[ 0.01805906  0.13277486 -0.01162241  0.0109625   0.03833731 -0.01640766
 -0.12787263 -0.00694193 -0.12764989  0.01385636 -0.04004848  0.06952982
  0.          0.          0.          1.        ]",0.0
0270,"[ 0.12052642  0.02532409 -0.05405964  0.00933305 -0.02110544 -0.09585688
 -0.09195865 -0.00555702 -0.05584187  0.09088741 -0.08192396  0.06525058
  0.          0.          0.          1.        ]","[ 0.12052642  0.02532409 -0.05405964  0.00933305 -0.02110544 -0.09585688
 -0.09195865 -0.00555702 -0.05584187  0.09088741 -0.08192396  0.06525058
  0.          0.          0.          1.        ]",0.0
0477,"[ 0.0574696  -0.06792347 -0.10086634  0.00583376 -0.06981482 -0.1097744
  0.03414447 -0.00500103 -0.0995666   0.03776713 -0.08216148  0.07110811
  0.          0.          0.          1.        ]","[ 0.0574696  -0.06792347 -0.10086634  0.00583376 -0.06981482 -0.1097744
  0.03414447 -0.00500103 -0.0995666   0.03776713 -0.08216148  0.07110811
  0.          0.          0.          1.        ]",0.0
0561,"[ 0.11557911 -0.05177764 -0.04528706  0.00481426 -0.05054164 -0.12398748
  0.01276791 -0.00463554 -0.04666244  0.00604592 -0.12600173  0.0683951
  0.          0.          0.          1.        ]","[ 0.11557911 -0.05177764 -0.04528706  0.00481426 -0.05054164 -0.12398748
  0.01276791 -0.00463554 -0.04666244  0.00604592 -0.12600173  0.0683951
  0.          0.          0.          1.        ]",0.0
0309,"[ 0.1315746   0.02714053 -0.00647216  0.01030156  0.00517946 -0.05441546
 -0.12289225 -0.00410817 -0.02741661  0.11996967 -0.05427688  0.06546662
  0.          0.          0.          1.        ]","[ 0.1315746   0.02714053 -0.00647216  0.01030156  0.00517946 -0.05441546
 -0.12289225 -0.00410817 -0.02741661  0.11996967 -0.05427688  0.06546662
  0.          0.          0.          1.        ]",0.0
0603,"[ 0.1217037   0.04363166 -0.03707913  0.00441563  0.00864906 -0.1001074
 -0.08940958 -0.0054746  -0.05660191  0.07851853 -0.09338864  0.06852591
  0.          0.          0.          1.        ]","[ 0.1217037   0.04363166 -0.03707913  0.00441563  0.00864906 -0.1001074
 -0.08940958 -0.0054746  -0.05660191  0.07851853 -0.09338864  0.06852591
  0.          0.          0.          1.        ]",0.0
