Image ID,Ground Truth Pose,Other Pose,Difference
0702,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.],0.0
0722,"[ 0.99237114 -0.12034509  0.02676868  0.20076095  0.12136083  0.99179161
 -0.04026068  0.02855582 -0.02170378  0.04320221  0.99883056  0.02216128
  0.          0.          0.          1.        ]","[ 0.99237114 -0.12034509  0.02676868  0.20076095  0.12136083  0.99179161
 -0.04026068  0.02855582 -0.02170378  0.04320221  0.99883056  0.02216128
  0.          0.          0.          1.        ]",0.0
0746,"[ 0.98531663 -0.16684416  0.03625099  0.31369275  0.16871578  0.98402619
 -0.05681058 -0.04198354 -0.02619341  0.06209252  0.99772662 -0.06491738
  0.          0.          0.          1.        ]","[ 0.98531663 -0.16684416  0.03625099  0.31369275  0.16871578  0.98402619
 -0.05681058 -0.04198354 -0.02619341  0.06209252  0.99772662 -0.06491738
  0.          0.          0.          1.        ]",0.0
0766,"[ 0.98935366 -0.14522961 -0.00936545  0.540124    0.14469513  0.98851889
 -0.04351703  0.09867559  0.01557789  0.04169859  0.99900877 -0.13220084
  0.          0.          0.          1.        ]","[ 0.98935366 -0.14522961 -0.00936545  0.540124    0.14469513  0.98851889
 -0.04351703  0.09867559  0.01557789  0.04169859  0.99900877 -0.13220084
  0.          0.          0.          1.        ]",0.0
0810,"[ 9.93735135e-01 -1.11760542e-01 -1.17575051e-04  3.96756172e-01
  1.11594960e-01  9.92318988e-01 -5.33815660e-02  2.97174484e-01
  6.08262420e-03  5.30340187e-02  9.98574197e-01 -5.48208877e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]","[ 9.93735135e-01 -1.11760542e-01 -1.17575051e-04  3.96756172e-01
  1.11594960e-01  9.92318988e-01 -5.33815660e-02  2.97174484e-01
  6.08262420e-03  5.30340187e-02  9.98574197e-01 -5.48208877e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]",0.0
0834,"[ 0.97599274 -0.21424861  0.03918777  0.43070868  0.21747135  0.96852869
 -0.12107205  0.44108963 -0.01201497  0.12668766  0.99186987 -0.04214428
  0.          0.          0.          1.        ]","[ 0.97599274 -0.21424861  0.03918777  0.43070868  0.21747135  0.96852869
 -0.12107205  0.44108963 -0.01201497  0.12668766  0.99186987 -0.04214428
  0.          0.          0.          1.        ]",0.0
0854,"[ 0.95594633 -0.28362107  0.07566831  0.53463066  0.29235053  0.94308919
 -0.15847395  0.61472505 -0.02641542  0.17361428  0.9844594  -0.05702394
  0.          0.          0.          1.        ]","[ 0.95594633 -0.28362107  0.07566831  0.53463066  0.29235053  0.94308919
 -0.15847395  0.61472505 -0.02641542  0.17361428  0.9844594  -0.05702394
  0.          0.          0.          1.        ]",0.0
0878,"[ 0.97291118 -0.19688666  0.12115874  0.5066393   0.21638608  0.96003616
 -0.17750385  0.34894353 -0.08136863  0.19891256  0.97663349 -0.05589642
  0.          0.          0.          1.        ]","[ 0.97291118 -0.19688666  0.12115874  0.5066393   0.21638608  0.96003616
 -0.17750385  0.34894353 -0.08136863  0.19891256  0.97663349 -0.05589642
  0.          0.          0.          1.        ]",0.0
0898,"[ 0.9874391  -0.10641096  0.11679368  0.61374205  0.12566717  0.97699189
 -0.17232129  0.3507517  -0.0957696   0.18483391  0.97809231 -0.07630482
  0.          0.          0.          1.        ]","[ 0.9874391  -0.10641096  0.11679368  0.61374205  0.12566717  0.97699189
 -0.17232129  0.3507517  -0.0957696   0.18483391  0.97809231 -0.07630482
  0.          0.          0.          1.        ]",0.0
0922,"[ 0.99450314 -0.04379809  0.09510674  0.62913018  0.06549726  0.96888185
 -0.23870082  0.25931072 -0.08169255  0.24361794  0.96642464 -0.03766163
  0.          0.          0.          1.        ]","[ 0.99450314 -0.04379809  0.09510674  0.62913018  0.06549726  0.96888185
 -0.23870082  0.25931072 -0.08169255  0.24361794  0.96642464 -0.03766163
  0.          0.          0.          1.        ]",0.0
0942,"[ 0.99093598 -0.07912558  0.10855896  0.64458495  0.10196037  0.96917117
 -0.22430182  0.14312874 -0.08746421  0.23333746  0.96845424 -0.03588525
  0.          0.          0.          1.        ]","[ 0.99093598 -0.07912558  0.10855896  0.64458495  0.10196037  0.96917117
 -0.22430182  0.14312874 -0.08746421  0.23333746  0.96845424 -0.03588525
  0.          0.          0.          1.        ]",0.0
0990,"[ 0.9732092  -0.22909749  0.01944807  0.70775461  0.22950846  0.96291167
 -0.14186954  0.41568321  0.01377518  0.14253223  0.9896943   0.12114572
  0.          0.          0.          1.        ]","[ 0.9732092  -0.22909749  0.01944807  0.70775461  0.22950846  0.96291167
 -0.14186954  0.41568321  0.01377518  0.14253223  0.9896943   0.12114572
  0.          0.          0.          1.        ]",0.0
1010,"[ 0.97213507 -0.23405626 -0.01308048  0.73714751  0.23042759  0.96433991
 -0.13019849  0.58707941  0.0430878   0.12355642  0.99140167  0.2099814
  0.          0.          0.          1.        ]","[ 0.97213507 -0.23405626 -0.01308048  0.73714751  0.23042759  0.96433991
 -0.13019849  0.58707941  0.0430878   0.12355642  0.99140167  0.2099814
  0.          0.          0.          1.        ]",0.0
1034,"[ 0.97155535 -0.23658091 -0.01047145  0.80593079  0.2339052   0.9655965
 -0.11362977  0.68355954  0.03699383  0.10794828  0.99346799  0.24629644
  0.          0.          0.          1.        ]","[ 0.97155535 -0.23658091 -0.01047145  0.80593079  0.2339052   0.9655965
 -0.11362977  0.68355954  0.03699383  0.10794828  0.99346799  0.24629644
  0.          0.          0.          1.        ]",0.0
1054,"[ 0.97780216 -0.20923319  0.01115444  0.81119186  0.20917073  0.97162259
 -0.11044089  0.67654938  0.01226999  0.11032251  0.99382007  0.27706337
  0.          0.          0.          1.        ]","[ 0.97780216 -0.20923319  0.01115444  0.81119186  0.20917073  0.97162259
 -0.11044089  0.67654938  0.01226999  0.11032251  0.99382007  0.27706337
  0.          0.          0.          1.        ]",0.0
1078,"[ 0.98902124 -0.14772053 -0.00395576  0.74749339  0.14728735  0.98758399
 -0.05462866  0.65592957  0.01197642  0.05344627  0.99849892  0.36759517
  0.          0.          0.          1.        ]","[ 0.98902124 -0.14772053 -0.00395576  0.74749339  0.14728735  0.98758399
 -0.05462866  0.65592957  0.01197642  0.05344627  0.99849892  0.36759517
  0.          0.          0.          1.        ]",0.0
1098,"[ 0.99941432 -0.02438809 -0.02400559  0.83786547  0.02410106  0.9996354
 -0.01217418  0.83202553  0.02429374  0.01158849  0.99963772  0.40619496
  0.          0.          0.          1.        ]","[ 0.99941432 -0.02438809 -0.02400559  0.83786547  0.02410106  0.9996354
 -0.01217418  0.83202553  0.02429374  0.01158849  0.99963772  0.40619496
  0.          0.          0.          1.        ]",0.0
1122,"[ 0.99429065  0.07341588 -0.0774353   0.98101509 -0.07247765  0.99725932
  0.01486173  0.91755933  0.07831416 -0.00916455  0.99688661  0.28856325
  0.          0.          0.          1.        ]","[ 0.99429065  0.07341588 -0.0774353   0.98101509 -0.07247765  0.99725932
  0.01486173  0.91755933  0.07831416 -0.00916455  0.99688661  0.28856325
  0.          0.          0.          1.        ]",0.0
1166,"[ 0.99474007  0.00577138 -0.10226873  0.79042172 -0.00427914  0.99988127
  0.01480474  0.92891341  0.10234202 -0.01428925  0.99464661  0.32405192
  0.          0.          0.          1.        ]","[ 0.99474007  0.00577138 -0.10226873  0.79042172 -0.00427914  0.99988127
  0.01480474  0.92891341  0.10234202 -0.01428925  0.99464661  0.32405192
  0.          0.          0.          1.        ]",0.0
1186,"[ 0.97966689 -0.10890856 -0.16849834  0.67344773  0.10614541  0.9940275
 -0.02534719  0.79617679  0.1702525   0.00694648  0.985376    0.36224827
  0.          0.          0.          1.        ]","[ 0.97966689 -0.10890856 -0.16849834  0.67344773  0.10614541  0.9940275
 -0.02534719  0.79617679  0.1702525   0.00694648  0.985376    0.36224827
  0.          0.          0.          1.        ]",0.0
1210,"[ 0.94936973 -0.23459913 -0.20895076  0.43511429  0.2216305   0.97152358
 -0.08379636  0.97509736  0.22265914  0.03324386  0.97432941  0.4125492
  0.          0.          0.          1.        ]","[ 0.94936973 -0.23459913 -0.20895076  0.43511429  0.2216305   0.97152358
 -0.08379636  0.97509736  0.22265914  0.03324386  0.97432941  0.4125492
  0.          0.          0.          1.        ]",0.0
1234,"[ 0.93463492 -0.2879608  -0.20865306  0.33114225  0.26882681  0.956236
 -0.11551978  1.18061256  0.23278674  0.0518773   0.97114319  0.48546582
  0.          0.          0.          1.        ]","[ 0.93463492 -0.2879608  -0.20865306  0.33114225  0.26882681  0.956236
 -0.11551978  1.18061256  0.23278674  0.0518773   0.97114319  0.48546582
  0.          0.          0.          1.        ]",0.0
