Image ID,Ground Truth Pose,Other Pose,Difference
0834,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.],"[ 0.88840213 -0.23681115 -0.39327108  0.08718154 -0.14745715  0.66407251
 -0.732983   -0.16426433  0.43473906  0.70917429  0.55504394 -0.54221696
  0.          0.          0.          1.        ]",1.453803793727089
1166,"[ 0.78200189 -0.41069569 -0.4688305   0.5532851   0.24697632  0.89481298
 -0.37190392 -0.51680879  0.5722549   0.17503953  0.80117752 -0.30418706
  0.          0.          0.          1.        ]","[ 0.85351978  0.02281958 -0.52056053  0.21201786 -0.38186976  0.70710985
 -0.59512281 -0.15908126  0.35451304  0.7067354   0.61224633  0.92501836
  0.          0.          0.          1.        ]",1.6725483872610505
0990,"[ 0.28028794 -0.94361948  0.17612797 -0.09401768  0.86129154  0.32822999
  0.38786859 -0.45046138 -0.42381072  0.04298264  0.90473035 -0.33706003
  0.          0.          0.          1.        ]","[ 0.87491911 -0.25710015 -0.41038534  0.47796724 -0.15469103  0.65465931
 -0.73992693 -0.53318548  0.45889793  0.71085907  0.53300286 -0.14076214
  0.          0.          0.          1.        ]",2.3055476535796897
0810,"[ 0.88498336  0.42464763 -0.19099408  0.29819698 -0.4577023   0.86871164
 -0.18933787  0.00150094  0.0855169   0.25497916  0.96315766 -0.02472854
  0.          0.          0.          1.        ]","[ 0.89540422 -0.11232719 -0.43085249  0.105694   -0.23874483  0.69566783
 -0.67753022 -0.33326495  0.37583529  0.70952719  0.59608642 -0.79977232
  0.          0.          0.          1.        ]",1.3556029444306315
1010,"[ 0.18543933 -0.89950382  0.39560731 -0.2665855   0.79953718  0.37216317
  0.47141807 -0.36787522 -0.57127278  0.22888329  0.78820038  0.34184922
  0.          0.          0.          1.        ]","[ 0.86133396 -0.25338477 -0.44034079  0.37521682 -0.17250249  0.66938629
 -0.72260978 -0.44091975  0.47785641  0.69836816  0.53285567  0.24109905
  0.          0.          0.          1.        ]",2.4177888982194355
0746,"[ 0.78365332  0.52380852 -0.33393427  0.2030994  -0.61505211  0.72968966
 -0.29877088 -0.12576973  0.08716968  0.4395196   0.89399334 -0.2422085
  0.          0.          0.          1.        ]","[ 0.90236472 -0.16603156 -0.39770773  0.12751436 -0.17542485  0.70140332
 -0.69083971 -0.76075124  0.39365472  0.69315717  0.60379556 -1.38667001
  0.          0.          0.          1.        ]",1.6742208988164167
1122,"[ 0.87958228 -0.35129534  0.32082173  1.1412093   0.46940847  0.53112664
 -0.70537955 -0.42271456  0.07739955  0.77103574  0.63207062 -0.13997531
  0.          0.          0.          1.        ]","[ 0.8626828   0.08162441 -0.49911509  0.59873096 -0.4140521   0.68068687
 -0.60433953 -0.1791099   0.29041225  0.72801293  0.62101362  1.03961387
  0.          0.          0.          1.        ]",1.861581499231585
1186,"[ 0.76930791 -0.32510083 -0.54997711 -0.16341574  0.48291702  0.85950992
  0.16743345 -0.67580002  0.41827796 -0.39440115  0.8182245  -0.06243007
  0.          0.          0.          1.        ]","[ 0.81193061 -0.08988184 -0.57679282  0.03004949 -0.34338132  0.72551313
 -0.59642264 -0.36472918  0.47207833  0.68231363  0.55820261  0.66761183
  0.          0.          0.          1.        ]",1.7997331989442347
0722,"[ 0.94329983  0.20023764 -0.26474567  0.10588574 -0.3106427   0.81361059
 -0.49146626 -0.20225187  0.1169898   0.54584134  0.82968102 -0.38288643
  0.          0.          0.          1.        ]","[ 0.90625422 -0.11584489 -0.40655045 -0.18706241 -0.21366616  0.70430556
 -0.67697889 -0.76144021  0.36476031  0.70038101  0.61352777 -1.2842336
  0.          0.          0.          1.        ]",1.23291848905742
1078,"[ 0.21429489 -0.50795027  0.83430473  0.62783708  0.85396434  0.51205952
  0.09241284 -0.11348611 -0.47415478  0.69266278  0.54350308  1.13900027
  0.          0.          0.          1.        ]","[ 0.88902062 -0.14500929 -0.43429793  0.23153077 -0.21605969  0.70341418
 -0.67714602 -0.58925164  0.40368378  0.69583098  0.59401906  0.53390026
  0.          0.          0.          1.        ]",2.343681403990065
1034,"[ 0.07822841 -0.79105773  0.60671905 -0.06832293  0.77934539  0.42804044
  0.45760495 -0.06427401 -0.62169218  0.43704598  0.64999208  0.98395618
  0.          0.          0.          1.        ]","[ 0.86347564 -0.24892542 -0.43868663  0.42507784 -0.16597915  0.68106749
 -0.71316055 -0.38413226  0.47629901  0.68860955  0.5467688   0.48747316
  0.          0.          0.          1.        ]",2.490686589282716
1234,"[ 0.8083628  -0.58067024 -0.09680681 -1.23938257  0.50184791  0.59377706
  0.62894959 -0.19056972 -0.30773059 -0.55700177  0.77139547  0.66470981
  0.          0.          0.          1.        ]","[ 0.74622122 -0.27124532 -0.60793081 -0.89239737 -0.25543959  0.72664535
 -0.63775946  0.08329287  0.61473938  0.6311992   0.47295143  1.06730188
  0.          0.          0.          1.        ]",2.2947471117629186
1054,"[ 0.08138666 -0.6750388   0.73327962  0.22915937  0.80937248  0.47410349
  0.34661538 -0.04115136 -0.58162915  0.5652864   0.58494348  1.18701657
  0.          0.          0.          1.        ]","[ 0.87947912 -0.22520052 -0.41928657  0.41308831 -0.16940578  0.67515039
 -0.71796492 -0.44232082  0.44476758  0.7024647   0.55563039  0.51740218
  0.          0.          0.          1.        ]",2.452710831186153
