Image ID,Ground Truth Pose,Other Pose,Difference
0834,"[-0.03634881  0.07496387 -0.01734993  0.00177492 -0.01901242 -0.02734355
 -0.07831154  0.00541352 -0.07455958 -0.02957341  0.02842748  0.03319966
  0.          0.          0.          1.        ]","[-0.03634881  0.07496387 -0.01734993  0.00177492 -0.01901242 -0.02734355
 -0.07831154  0.00541352 -0.07455958 -0.02957341  0.02842748  0.03319966
  0.          0.          0.          1.        ]",0.0
1166,"[-0.01983912  0.07897002 -0.0247383   0.00379868 -0.06643512 -0.03036666
 -0.04365867  0.00352318 -0.0493419   0.00913456  0.06872973  0.03208703
  0.          0.          0.          1.        ]","[-0.01983912  0.07897002 -0.0247383   0.00379868 -0.06643512 -0.03036666
 -0.04365867  0.00352318 -0.0493419   0.00913456  0.06872973  0.03208703
  0.          0.          0.          1.        ]",0.0
0990,"[ 0.0617307   0.05815909  0.00697708  0.00143103  0.00430955  0.00559948
 -0.08480515  0.00376586 -0.05841735  0.06187088  0.00111658  0.03196679
  0.          0.          0.          1.        ]","[ 0.0617307   0.05815909  0.00697708  0.00143103  0.00430955  0.00559948
 -0.08480515  0.00376586 -0.05841735  0.06187088  0.00111658  0.03196679
  0.          0.          0.          1.        ]",0.0
0810,"[-0.06796294  0.04526268 -0.02396181  0.00286564 -0.01100743 -0.05179505
 -0.06661793  0.00541901 -0.05001714 -0.0501039   0.04721995  0.03310921
  0.          0.          0.          1.        ]","[-0.06796294  0.04526268 -0.02396181  0.00286564 -0.01100743 -0.05179505
 -0.06661793  0.00541901 -0.05001714 -0.0501039   0.04721995  0.03310921
  0.          0.          0.          1.        ]",0.0
1010,"[ 6.31074452e-02  5.66235756e-02  7.28424671e-03  7.99825834e-04
  1.93494159e-02 -1.09987210e-02 -8.21368816e-02  4.06793676e-03
 -5.37111650e-02  6.25670682e-02 -2.10312039e-02  3.44500475e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]","[ 6.31074452e-02  5.66235756e-02  7.28424671e-03  7.99825834e-04
  1.93494159e-02 -1.09987210e-02 -8.21368816e-02  4.06793676e-03
 -5.37111650e-02  6.25670682e-02 -2.10312039e-02  3.44500475e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]",0.0
0746,"[-0.07610394  0.02803491 -0.02576963  0.0025178  -0.00490783 -0.06433063
 -0.05549164  0.00495349 -0.03776166 -0.04813992  0.05914765  0.03231373
  0.          0.          0.          1.        ]","[-0.07610394  0.02803491 -0.02576963  0.0025178  -0.00490783 -0.06433063
 -0.05549164  0.00495349 -0.03776166 -0.04813992  0.05914765  0.03231373
  0.          0.          0.          1.        ]",0.0
1122,"[ 0.00187403  0.03920706 -0.07550585  0.00594914 -0.03561956 -0.06822491
 -0.03631044  0.00386735 -0.07726302  0.03240381  0.01490832  0.03268767
  0.          0.          0.          1.        ]","[ 0.00187403  0.03920706 -0.07550585  0.00594914 -0.03561956 -0.06822491
 -0.03631044  0.00386735 -0.07726302  0.03240381  0.01490832  0.03268767
  0.          0.          0.          1.        ]",0.0
1186,"[ 9.80808522e-04  8.30920507e-02  1.83463352e-02  1.17719156e-03
 -6.05870622e-02  1.35650628e-02 -5.81982494e-02  2.94163515e-03
 -5.97501892e-02 -1.23910889e-02  5.93145450e-02  3.29713085e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]","[ 9.80808522e-04  8.30920507e-02  1.83463352e-02  1.17719156e-03
 -6.05870622e-02  1.35650628e-02 -5.81982494e-02  2.94163515e-03
 -5.97501892e-02 -1.23910889e-02  5.93145450e-02  3.29713085e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]",0.0
0722,"[-0.05960457  0.04424269 -0.04161393  0.00216222 -0.01860199 -0.06879968
 -0.04650171  0.00467374 -0.05781955 -0.02347398  0.0578594   0.03179917
  0.          0.          0.          1.        ]","[-0.05960457  0.04424269 -0.04161393  0.00216222 -0.01860199 -0.06879968
 -0.04650171  0.00467374 -0.05781955 -0.02347398  0.0578594   0.03179917
  0.          0.          0.          1.        ]",0.0
1078,"[ 0.06445366  0.0448317  -0.0328281   0.00407137  0.00970711 -0.05858765
 -0.06095161  0.00499842 -0.0547114   0.04241987 -0.04948795  0.0373658
  0.          0.          0.          1.        ]","[ 0.06445366  0.0448317  -0.0328281   0.00407137  0.00970711 -0.05858765
 -0.06095161  0.00499842 -0.0547114   0.04241987 -0.04948795  0.0373658
  0.          0.          0.          1.        ]",0.0
1034,"[ 6.63655530e-02  5.32588583e-02  9.73005113e-04  1.52501408e-03
  2.58882907e-02 -3.08899671e-02 -7.49496217e-02  5.17842390e-03
 -4.65537200e-02  5.87464327e-02 -4.02920195e-02  3.67986927e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]","[ 6.63655530e-02  5.32588583e-02  9.73005113e-04  1.52501408e-03
  2.58882907e-02 -3.08899671e-02 -7.49496217e-02  5.17842390e-03
 -4.65537200e-02  5.87464327e-02 -4.02920195e-02  3.67986927e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]",0.0
