Image ID,Ground Truth Pose,Other Pose,Difference
0276,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.],0.0
0321,"[ 0.98795152 -0.1547372   0.00286561  0.27829802  0.15462369  0.98767585
  0.02424849 -0.18748713 -0.00658244 -0.02351324  0.99970186  0.14025363
  0.          0.          0.          1.        ]","[ 0.98795152 -0.1547372   0.00286561  0.27829802  0.15462369  0.98767585
  0.02424849 -0.18748713 -0.00658244 -0.02351324  0.99970186  0.14025363
  0.          0.          0.          1.        ]",0.0
0375,"[ 0.96530926 -0.26080862  0.01252576  0.48806271  0.260528    0.96525061
  0.02040628 -0.32495865 -0.01741263 -0.01643506  0.9997133   0.10753366
  0.          0.          0.          1.        ]","[ 0.96530926 -0.26080862  0.01252576  0.48806271  0.260528    0.96525061
  0.02040628 -0.32495865 -0.01741263 -0.01643506  0.9997133   0.10753366
  0.          0.          0.          1.        ]",0.0
0429,"[ 0.93756813 -0.34625721 -0.03274091  0.64602482  0.34498608  0.93780231
 -0.03887639 -0.41823769  0.04416573  0.0251541   0.99870747  0.08385349
  0.          0.          0.          1.        ]","[ 0.93756813 -0.34625721 -0.03274091  0.64602482  0.34498608  0.93780231
 -0.03887639 -0.41823769  0.04416573  0.0251541   0.99870747  0.08385349
  0.          0.          0.          1.        ]",0.0
0537,"[ 0.88112152 -0.46151415  0.10309952  0.94376421  0.47287485  0.8616364
 -0.18431526 -0.01963899 -0.00377021  0.21115732  0.97744483 -0.13212399
  0.          0.          0.          1.        ]","[ 0.88112152 -0.46151415  0.10309952  0.94376421  0.47287485  0.8616364
 -0.18431526 -0.01963899 -0.00377021  0.21115732  0.97744483 -0.13212399
  0.          0.          0.          1.        ]",0.0
0591,"[ 0.89880991 -0.42138731  0.12072043  0.92730039  0.4359194   0.83038855
 -0.34702909  0.26280057  0.0459888   0.3645376   0.93005234 -0.05806577
  0.          0.          0.          1.        ]","[ 0.89880991 -0.42138731  0.12072043  0.92730039  0.4359194   0.83038855
 -0.34702909  0.26280057  0.0459888   0.3645376   0.93005234 -0.05806577
  0.          0.          0.          1.        ]",0.0
0645,"[ 0.91008961 -0.41159296  0.04825065  1.21095324  0.40423381  0.85605502
 -0.32212552  0.48712736  0.09127939  0.31266764  0.94546658  0.25874841
  0.          0.          0.          1.        ]","[ 0.91008961 -0.41159296  0.04825065  1.21095324  0.40423381  0.85605502
 -0.32212552  0.48712736  0.09127939  0.31266764  0.94546658  0.25874841
  0.          0.          0.          1.        ]",0.0
0699,"[ 0.92787868 -0.36422706  0.07987366  1.37028003  0.37026048  0.87461197
 -0.3129873   0.45988467  0.04413997  0.31998828  0.94639271  0.1336548
  0.          0.          0.          1.        ]","[ 0.92787868 -0.36422706  0.07987366  1.37028003  0.37026048  0.87461197
 -0.3129873   0.45988467  0.04413997  0.31998828  0.94639271  0.1336548
  0.          0.          0.          1.        ]",0.0
0744,"[ 0.87579077 -0.45200312  0.16936263  1.42264938  0.48198617  0.79996032
 -0.35742533  0.42173147  0.02607394  0.39466023  0.91845709  0.10919224
  0.          0.          0.          1.        ]","[ 0.87579077 -0.45200312  0.16936263  1.42264938  0.48198617  0.79996032
 -0.35742533  0.42173147  0.02607394  0.39466023  0.91845709  0.10919224
  0.          0.          0.          1.        ]",0.0
0798,"[ 0.83130175 -0.54040039  0.13001855  1.43945861  0.54331505  0.74070871
 -0.39517006  0.51000637  0.11724417  0.39914659  0.90936011  0.17649369
  0.          0.          0.          1.        ]","[ 0.83130175 -0.54040039  0.13001855  1.43945861  0.54331505  0.74070871
 -0.39517006  0.51000637  0.11724417  0.39914659  0.90936011  0.17649369
  0.          0.          0.          1.        ]",0.0
