Image ID,Ground Truth Pose,Other Pose,Difference
0960,"[ 0.08491549  0.0579528  -0.00103051  0.00110425  0.01775208 -0.024263
  0.09831785  0.00260513  0.05517655 -0.08138188 -0.03004609  0.04561497
  0.          0.          0.          1.        ]","[ 0.08491549  0.0579528  -0.00103051  0.00110425  0.01775208 -0.024263
  0.09831785  0.00260513  0.05517655 -0.08138188 -0.03004609  0.04561497
  0.          0.          0.          1.        ]",0.0
0276,"[-0.08359984  0.01583187  0.05771176  0.00328773  0.02176187  0.10040321
  0.00398044  0.00492858 -0.0557469   0.01545234 -0.08499257  0.03973525
  0.          0.          0.          1.        ]","[-0.08359984  0.01583187  0.05771176  0.00328773  0.02176187  0.10040321
  0.00398044  0.00492858 -0.0557469   0.01545234 -0.08499257  0.03973525
  0.          0.          0.          1.        ]",0.0
0375,"[-0.06966909 -0.06661153  0.03576799  0.00273749 -0.01793382  0.06180888
  0.08017648  0.00835839 -0.07344946  0.04809152 -0.05350337  0.04234428
  0.          0.          0.          1.        ]","[-0.06966909 -0.06661153  0.03576799  0.00273749 -0.01793382  0.06180888
  0.08017648  0.00835839 -0.07344946  0.04809152 -0.05350337  0.04234428
  0.          0.          0.          1.        ]",0.0
1068,"[ 0.06918679  0.01766221 -0.07396934 -0.00223904  0.04017226  0.07642154
  0.05582263  0.00120335  0.06457249 -0.06646821  0.04452639  0.04765444
  0.          0.          0.          1.        ]","[ 0.06918679  0.01766221 -0.07396934 -0.00223904  0.04017226  0.07642154
  0.05582263  0.00120335  0.06457249 -0.06646821  0.04452639  0.04765444
  0.          0.          0.          1.        ]",0.0
0429,"[-5.95546258e-02 -8.21138528e-02 -1.67567879e-02 -4.43075210e-04
 -3.63857652e-02  6.81614107e-03  9.59158206e-02  6.31376440e-03
 -7.54953689e-02  6.14905197e-02 -3.30089952e-02  4.36743667e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]","[-5.95546258e-02 -8.21138528e-02 -1.67567879e-02 -4.43075210e-04
 -3.63857652e-02  6.81614107e-03  9.59158206e-02  6.31376440e-03
 -7.54953689e-02  6.14905197e-02 -3.30089952e-02  4.36743667e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]",0.0
1122,"[ 8.09428927e-02  5.12948020e-02 -3.72467439e-02  2.56239463e-04
  1.84454823e-02  3.87367057e-02  9.34315827e-02 -1.85572570e-04
  6.06485011e-02 -8.02405079e-02  2.12943193e-02  4.52843800e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]","[ 8.09428927e-02  5.12948020e-02 -3.72467439e-02  2.56239463e-04
  1.84454823e-02  3.87367057e-02  9.34315827e-02 -1.85572570e-04
  6.06485011e-02 -8.02405079e-02  2.12943193e-02  4.52843800e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]",0.0
0798,"[ 0.07708771  0.06518684 -0.01945224 -0.00113884  0.03851267 -0.0175861
  0.09368955  0.00551065  0.05607573 -0.07753473 -0.03760462  0.04505183
  0.          0.          0.          1.        ]","[ 0.07708771  0.06518684 -0.01945224 -0.00113884  0.03851267 -0.0175861
  0.09368955  0.00551065  0.05607573 -0.07753473 -0.03760462  0.04505183
  0.          0.          0.          1.        ]",0.0
1014,"[ 6.50738356e-02  5.86025659e-02 -5.38643087e-02 -1.23025547e-04
  4.53919426e-02  2.98300632e-02  8.72924226e-02  2.63743159e-03
  6.53849873e-02 -7.90324916e-02 -6.99267027e-03  4.62109933e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]","[ 6.50738356e-02  5.86025659e-02 -5.38643087e-02 -1.23025547e-04
  4.53919426e-02  2.98300632e-02  8.72924226e-02  2.63743159e-03
  6.53849873e-02 -7.90324916e-02 -6.99267027e-03  4.62109933e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]",0.0
1275,"[-2.31748524e-02  3.64206629e-03 -1.00099404e-01  1.19369468e-04
  9.75929882e-02 -2.23153122e-02 -2.34065018e-02  1.33211636e-03
 -2.25557922e-02 -1.00294521e-01  1.57291491e-03  4.64155261e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]","[-2.31748524e-02  3.64206629e-03 -1.00099404e-01  1.19369468e-04
  9.75929882e-02 -2.23153122e-02 -2.34065018e-02  1.33211636e-03
 -2.25557922e-02 -1.00294521e-01  1.57291491e-03  4.64155261e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]",0.0
1383,"[ 3.38017688e-02 -1.92044383e-02 -9.51780340e-02 -8.03475018e-04
  8.97250930e-02  4.46951466e-02  2.28468853e-02  5.77119927e-04
  3.71089823e-02 -9.05746246e-02  3.14545663e-02  4.55453369e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]","[ 3.38017688e-02 -1.92044383e-02 -9.51780340e-02 -8.03475018e-04
  8.97250930e-02  4.46951466e-02  2.28468853e-02  5.77119927e-04
  3.71089823e-02 -9.05746246e-02  3.14545663e-02  4.55453369e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]",0.0
0537,"[-6.18782483e-03 -8.47117844e-02 -5.79297244e-02  4.06162204e-04
 -9.18374441e-02 -2.13303798e-02  4.10015533e-02  4.10177967e-03
 -4.58020011e-02  5.42139936e-02 -7.43858058e-02  4.11695201e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]","[-6.18782483e-03 -8.47117844e-02 -5.79297244e-02  4.06162204e-04
 -9.18374441e-02 -2.13303798e-02  4.10015533e-02  4.10177967e-03
 -4.58020011e-02  5.42139936e-02 -7.43858058e-02  4.11695201e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]",0.0
1221,"[ 6.24811496e-02  1.50856334e-02 -8.02418745e-02  1.84173595e-04
  6.97783763e-02  4.25986794e-02  6.23422757e-02  4.21323450e-04
  4.23947287e-02 -9.23471998e-02  1.56496254e-02  4.55096686e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]","[ 6.24811496e-02  1.50856334e-02 -8.02418745e-02  1.84173595e-04
  6.97783763e-02  4.25986794e-02  6.23422757e-02  4.21323450e-04
  4.23947287e-02 -9.23471998e-02  1.56496254e-02  4.55096686e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]",0.0
1491,"[ 7.57945893e-02  2.45761367e-02 -6.49724715e-02  3.20954734e-04
  3.14436369e-02  7.36084810e-02  6.45237819e-02  2.85803158e-04
  6.19411520e-02 -6.74391097e-02  4.67492045e-02  4.52140361e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]","[ 7.57945893e-02  2.45761367e-02 -6.49724715e-02  3.20954734e-04
  3.14436369e-02  7.36084810e-02  6.45237819e-02  2.85803158e-04
  6.19411520e-02 -6.74391097e-02  4.67492045e-02  4.52140361e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]",0.0
1437,"[ 6.01242097e-02  3.39975831e-04 -8.33977957e-02 -4.99560510e-04
  6.20244322e-02  6.85467608e-02  4.49948879e-02  1.16111236e-03
  5.57519257e-02 -7.66254181e-02  3.98810302e-02  4.54811854e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]","[ 6.01242097e-02  3.39975831e-04 -8.33977957e-02 -4.99560510e-04
  6.20244322e-02  6.85467608e-02  4.49948879e-02  1.16111236e-03
  5.57519257e-02 -7.66254181e-02  3.98810302e-02  4.54811854e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]",0.0
0699,"[ 0.08678057  0.0490678   0.02513388  0.0027079   0.0377202  -0.08702912
  0.03966545  0.00470008  0.04020631 -0.02425928 -0.0914613   0.041157
  0.          0.          0.          1.        ]","[ 0.08678057  0.0490678   0.02513388  0.0027079   0.0377202  -0.08702912
  0.03966545  0.00470008  0.04020631 -0.02425928 -0.0914613   0.041157
  0.          0.          0.          1.        ]",0.0
0321,"[-0.08519637 -0.03426616  0.04623459  0.00309144 -0.01118131  0.09088159
  0.04675193  0.00649588 -0.05645162  0.03371342 -0.07903701  0.04045521
  0.          0.          0.          1.        ]","[-0.08519637 -0.03426616  0.04623459  0.00309144 -0.01118131  0.09088159
  0.04675193  0.00649588 -0.05645162  0.03371342 -0.07903701  0.04045521
  0.          0.          0.          1.        ]",0.0
0744,"[ 0.07975343  0.06338017  0.01387713  0.00200217  0.05064099 -0.07455481
  0.04947018  0.00425984  0.04055996 -0.03153987 -0.08905254  0.04175419
  0.          0.          0.          1.        ]","[ 0.07975343  0.06338017  0.01387713  0.00200217  0.05064099 -0.07455481
  0.04947018  0.00425984  0.04055996 -0.03153987 -0.08905254  0.04175419
  0.          0.          0.          1.        ]",0.0
1545,"[ 7.62766830e-02  2.32571061e-02 -6.48937874e-02  3.26699780e-04
  2.17607313e-02  8.37118521e-02  5.55789983e-02  5.25879073e-03
  6.54107558e-02 -5.49696434e-02  5.71839101e-02  4.45200713e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]","[ 7.62766830e-02  2.32571061e-02 -6.48937874e-02  3.26699780e-04
  2.17607313e-02  8.37118521e-02  5.55789983e-02  5.25879073e-03
  6.54107558e-02 -5.49696434e-02  5.71839101e-02  4.45200713e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]",0.0
0852,"[ 8.61782145e-02  5.50187230e-02 -1.07927713e-02  1.93071524e-04
  3.35799548e-02 -3.48000434e-02  9.07280096e-02  4.54426701e-03
  4.48991126e-02 -7.95746524e-02 -4.71399259e-02  4.31888321e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]","[ 8.61782145e-02  5.50187230e-02 -1.07927713e-02  1.93071524e-04
  3.35799548e-02 -3.48000434e-02  9.07280096e-02  4.54426701e-03
  4.48991126e-02 -7.95746524e-02 -4.71399259e-02  4.31888321e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]",0.0
0591,"[ 4.47433100e-02 -8.35131685e-02 -3.99226213e-02  8.52844954e-04
 -8.85808390e-02 -5.14995248e-02  8.45356596e-03  1.88827442e-03
 -2.68644731e-02  3.07177235e-02 -9.43660429e-02  4.08132874e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]","[ 4.47433100e-02 -8.35131685e-02 -3.99226213e-02  8.52844954e-04
 -8.85808390e-02 -5.14995248e-02  8.45356596e-03  1.88827442e-03
 -2.68644731e-02  3.07177235e-02 -9.43660429e-02  4.08132874e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]",0.0
